tribe_label,size,Age,Sex (Derived),Sex (Derived) %,Ethnic group,Ethnic group %,Highest qualification,Employment status,Marital status,Marital status %,Housing tenure (Own/Rent),Housing tenure (Own/Rent) %,Composition of household (LFS),Composition of household (LFS) %,Self-rated general health,Self-rated general health %,unit_id,la_name,cluster_level,group
Embedding 6,11383,1967.3,Female,100,White,100,3.3,2.0: 71% | Inactive: 9% | Employed: 8%,Married/Civil partner,40,Rented,37,19.0,18,Good,36,E09000018,Hounslow,LA,Embedding
Embedding 12,16265,1982.1,Male,100,White,100,2.5,2.0: 83% | Employed: 10% | Unemployed: 3%,Married/Civil partner,61,Rented,62,"3+ adults (incl. couple), 1–2 children",31,Very good,38,E09000018,Hounslow,LA,Embedding
Embedding 8,8622,1948.9,Male,100,White,99,4.3,Retired: 94% | Employed: 3% | 2.0: 2%,Married/Civil partner,61,Owner-occupied,73,"2 adults (not a couple), no children",50,Good,39,E09000018,Hounslow,LA,Embedding
Embedding 4,4910,1951.3,Female,100,White,99,4.2,Retired: 90% | 2.0: 4% | Employed: 3%,Married/Civil partner,78,Owner-occupied,78,"2 adults (not a couple), no children",72,Good,41,E09000018,Hounslow,LA,Embedding
Embedding 9,9080,1964.9,Male,100,White,100,3.6,2.0: 61% | Employed: 19% | Inactive: 11%,Married/Civil partner,51,Owner-occupied,36,"1 adult, 2+ children",23,Good,35,E09000018,Hounslow,LA,Embedding
Embedding 7,5338,1945.6,Female,100,White,98,5.4,Retired: 93% | 2.0: 3% | Inactive: 2%,Widowed/surviving civil partner,50,Owner-occupied,60,"1 adult, 1 child",86,Good,31,E09000018,Hounslow,LA,Embedding
Embedding 10,9119,1977.2,Female,56,14.0,28,3.3,2.0: 61% | Retired: 10% | Unemployed: 9%,Never married,45,4.0,26,19.0,16,Good,45,E09000018,Hounslow,LA,Embedding
Embedding 2,4702,1973.9,Female,57,Pakistani / Bangladeshi,55,2.4,2.0: 59% | Retired: 13% | Employed: 11%,Married/Civil partner,48,Rented,35,19.0,16,Very good,38,E09000018,Hounslow,LA,Embedding
Embedding 11,21216,1974.9,Male,59,Other,78,3.0,2.0: 61% | Retired: 13% | Employed: 11%,Married/Civil partner,63,Rented,50,22.0,17,Good,37,E09000018,Hounslow,LA,Embedding
Embedding 3,21244,1980.6,Male,51,10.0,62,3.9,2.0: 48% | Unemployed: 15% | Employed: 12%,Married/Civil partner,62,Rented,35,20.0,24,Good,37,E09000018,Hounslow,LA,Embedding
Embedding 1,12688,1985.0,Female,100,White,100,2.4,2.0: 74% | Employed: 8% | 6.0: 6%,Married/Civil partner,45,Rented,52,"3+ adults (incl. couple), 1–2 children",26,Very good,42,E09000018,Hounslow,LA,Embedding
Embedding 5,5023,2000.0,Female,52,White,99,3.0,2.0: 61% | Student / training: 19% | Unemployed: 10%,Never married,94,Rented,40,19.0,25,Very good,39,E09000018,Hounslow,LA,Embedding
Embedding 4,21335,1988.6,Male,100,White,99,2.4,2.0: 78% | Employed: 7% | Unemployed: 6%,Never married,42,Rented,49,"3+ adults (incl. couple), 1–2 children",18,Very good,37,E09000019,Islington,LA,Embedding
Embedding 1,10664,1967.4,Female,100,White,100,3.5,2.0: 60% | Inactive: 19% | Employed: 8%,Married/Civil partner,31,Rented,26,"1 adult, 2+ children",17,Good,34,E09000019,Islington,LA,Embedding
Embedding 6,8800,1951.2,Male,100,White,99,4.4,Retired: 83% | Employed: 6% | Inactive: 5%,Married/Civil partner,51,Owner-occupied,61,"2 adults (not a couple), no children",44,Good,34,E09000019,Islington,LA,Embedding
Embedding 8,15913,1982.7,Female,60,15.0,30,2.9,2.0: 63% | Unemployed: 10% | Employed: 7%,Never married,53,4.0,32,19.0,16,Good,41,E09000019,Islington,LA,Embedding
Embedding 11,19355,1986.7,Female,100,White,100,2.2,2.0: 73% | Employed: 10% | 6.0: 6%,Married/Civil partner,38,Rented,48,"3+ adults (incl. couple), 1–2 children",20,Very good,40,E09000019,Islington,LA,Embedding
Embedding 10,14122,1969.6,Male,100,White,100,3.2,2.0: 64% | Employed: 17% | Inactive: 11%,Married/Civil partner,48,Rented,40,"1 adult, 2+ children",22,Good,34,E09000019,Islington,LA,Embedding
Embedding 7,8389,1999.2,Female,77,White,99,2.9,2.0: 57% | Student / training: 18% | Unemployed: 15%,Never married,92,Rented,32,19.0,24,Very good,36,E09000019,Islington,LA,Embedding
Embedding 5,4519,1985.4,Male,55,10.0,100,3.6,2.0: 47% | Unemployed: 20% | Employed: 11%,Married/Civil partner,49,Rented,38,20.0,21,Good,40,E09000019,Islington,LA,Embedding
Embedding 2,6976,1980.7,Male,60,Other,72,2.6,2.0: 64% | Employed: 12% | Unemployed: 7%,Married/Civil partner,49,Rented,49,22.0,17,Very good,35,E09000019,Islington,LA,Embedding
