tribe_label,size,Age,Sex (Derived),Sex (Derived) %,Ethnic group,Ethnic group %,Highest qualification,Employment status,Marital status,Marital status %,Housing tenure (Own/Rent),Housing tenure (Own/Rent) %,Composition of household (LFS),Composition of household (LFS) %,Self-rated general health,Self-rated general health %,unit_id,la_name,cluster_level,group,gpt_title,gpt_description
Employed 1,51143,49.4,Male,64,White,58,2.4,Employed: 100%,Married/Civil partner,87,Owner-occupied,76,"Couple, 2 children",27,Good,40,E09000018,Hounslow,national,Employed,Married White Male Owners,"This cluster consists mainly of older employed males (64%) around age 49, predominantly White (58%), with slightly lower qualifications (2.4) than the employed group baseline. They are overwhelmingly married or in civil partnerships (87%), more so than the employed group baseline (55%), and mostly live in owner-occupied homes (76%) in couple households with two children (27%). Their self-rated health is good (40%), slightly above the employed group average. This cluster stands out as the most stably married, home-owning, middle-aged male group within the employed population."
Retired 2,11923,76.0,Male,60,White,78,3.5,Retired: 100%,Married/Civil partner,95,Owner-occupied,89,"Couple, no children",72,Good,38,E09000018,Hounslow,national,Retired,Married Elderly Male Couples,"This retired cluster is characterized by older males (60%) aged around 76, almost exclusively White (78%), with moderate qualifications (3.5). They have a notably high marriage/civil partnership rate (95%) and a very high rate of owner-occupation (89%). Most live as couples with no children (72%), emphasizing stable, traditional older households. Their self-rated health is good (38%), aligning with the retired group baseline. They differ from other retired clusters by being predominantly male, married, and living in couple-only households with strong home ownership."
Employed 2,33049,44.7,Female,57,White,56,2.7,Employed: 100%,Never married,67,Owner-occupied,53,"1 adult, no children",29,Good,37,E09000018,Hounslow,national,Employed,Single White Female Renters,"This employed cluster is younger (average age 44.7) and predominantly female (57%) with a majority White ethnicity (56%). They are mostly never married (67%), contrasting with the married majority in the employed baseline. They tend to live alone (29% single adult, no children) and have lower home ownership (53%) with higher renting than Employed 1. Their qualifications are slightly higher (2.7) than Employed 1 but still modest. Their self-rated health is good (37%), but this cluster distinctly represents single, younger, female employees with less stable housing tenure."
Retired 1,10980,78.6,Female,66,White,78,4.1,Retired: 100%,Widowed/surviving civil partner,46,Owner-occupied,64,"1 adult, no children",69,Good,34,E09000018,Hounslow,national,Retired,Widowed Older Female Singles,"This retired cluster is older (average 78.6), predominantly female (66%), and largely White (78%) with higher qualifications (4.1). Nearly half are widowed or surviving partners (46%), distinguishing them from Retired 2's married majority. Most live alone (69% single adult, no children) and have lower owner-occupation (64%) than Retired 2. Their self-rated health is good but lower (34%) than Retired 2. This cluster typifies older widowed females with higher education living alone, marking a distinct social and household composition within retired residents."
On leave,4720,46.9,Female,93,White,43,3.7,On leave: 100%,Married/Civil partner,67,Owner-occupied,50,"Couple, 2 children",16,Good,37,E09000018,Hounslow,national,On leave,Married White Female Parents,"This cluster comprises mostly females (93%) on leave from employment, average age 46.9, predominantly White (43%) but with a notable Pakistani/Bangladeshi minority (35%). They have relatively high qualifications (3.7) and a strong married/civil partnership rate (67%). Housing tenure is evenly split (50% owner-occupied), and households are primarily couples with two children (16%). Their self-rated health is good (37%). This group is distinctive for its gender skew, mixed ethnic composition, and family-oriented household structure among those temporarily out of work."
Unemployed 1,3504,38.3,Male,52,White,37,3.5,Unemployed: 100%,Never married,100,Rented,55,"3+ adults (no couple), no children",23,Good,40,E09000018,Hounslow,national,Unemployed,Young Single White Male Renters,"This unemployed cluster is younger (age 38.3) and evenly split by sex with a slight male majority (52%). They are less ethnically diverse than the overall unemployed group, with only 37% White and fewer Pakistani/Bangladeshi individuals. All are never married (100%), live predominantly in rented accommodation (55%), and reside mostly in multi-adult households without couples or children (23%). Their qualifications (3.5) are lower than the unemployed baseline. Their self-rated health is good (40%), making them distinct as a younger, single, primarily male, White group in unstable housing and household situations."
Student,3142,27.0,Female,57,White,37,2.9,Student / training: 100%,Never married,90,Owner-occupied,68,"3+ adults (incl. couple), 1–2 children",26,Very good,44,E09000018,Hounslow,national,Student,Young Single White Female Students,"This student cluster mirrors the student baseline closely: young (age 27), predominantly female (57%), largely White (37%) with significant Pakistani/Bangladeshi representation (32%). They have lower qualifications (2.9), are overwhelmingly never married (90%), and mostly live in owner-occupied housing (68%) within larger households including 1–2 children (26%). Their self-rated health is very good (44%), the highest among these clusters. This cluster epitomizes the typical young, single, female student demographic with good health and stable housing."
Inactive 2,3765,50.2,Female,58,White,69,4.0,Inactive: 100%,Never married,64,Rented,67,"1 adult, no children",28,Poor,48,E09000018,Hounslow,national,Inactive,Single Poor-Health Female Renters,"This inactive cluster is middle-aged (50.2), predominantly female (58%), mostly White (69%), with high qualifications (4.0). The majority are never married (64%) and live in rented accommodation (67%). Most live alone (28% single adult, no children). They report very poor self-rated health (48%), the worst among inactive clusters and higher than the inactive baseline. This cluster stands out as single females of working age with poor health, higher education, and unstable housing tenure."
Inactive 1,2092,52.5,Female,53,White,56,3.7,Inactive: 100%,Married/Civil partner,86,Owner-occupied,50,"3+ adults (incl. couple), no children",22,Poor,39,E09000018,Hounslow,national,Inactive,Married Poor-Health Female Owners,"This inactive cluster is slightly older (52.5), predominantly female (53%), primarily White (56%), with moderately high qualifications (3.7). They have a very high marriage/civil partnership rate (86%) and a 50% rate of owner-occupation. Their households commonly include multiple adults without children (22%). Despite being married and better housed, they report poor self-rated health (39%), higher than the inactive baseline. This group is distinctive as married females with poor health but more stable living situations within the inactive population."
Unemployed 2,4534,52.9,Female,61,Pakistani / Bangladeshi,44,4.1,Unemployed: 100%,Married/Civil partner,66,Rented,60,"3+ adults (incl. couple), no children",21,Good,37,E09000018,Hounslow,national,Unemployed,Married Pakistani Female Renters,"This unemployed cluster is older (52.9), predominantly female (61%), and largely Pakistani/Bangladeshi (44%). They have the highest qualifications among unemployed clusters (4.1), with a majority married or in civil partnerships (66%). Most live in rented accommodation (60%) and multi-adult households without children (21%). Their self-rated health is good (37%), slightly below the unemployed baseline. This cluster is unique as a more mature, married, Pakistani female group with higher education but less stable housing within the unemployed population."
