ladcd,group_code,group_label,total_population
E06000009,1.0,Employed,60654
E06000009,3.0,Unemployed,6426
E06000009,4.0,Retired,27817
E06000009,5.0,On leave,4136
E06000009,7.0,Student / training,4675
E06000009,8.0,Inactive,8590
E06000047,1.0,Employed,222497
E06000047,3.0,Unemployed,19075
E06000047,4.0,Retired,100284
E06000047,5.0,On leave,16045
E06000047,7.0,Student / training,23533
E06000047,8.0,Inactive,26962
E09000018,1.0,Employed,122012
E09000018,3.0,Unemployed,11446
E09000018,4.0,Retired,27823
E09000018,5.0,On leave,11533
E09000018,7.0,Student / training,13678
E09000018,8.0,Inactive,9158
E09000019,1.0,Employed,123431
E09000019,3.0,Unemployed,14003
E09000019,4.0,Retired,21345
E09000019,5.0,On leave,9258
E09000019,7.0,Student / training,18806
E09000019,8.0,Inactive,13901
E09000025,1.0,Employed,131458
E09000025,3.0,Unemployed,20536
E09000025,4.0,Retired,23161
E09000025,5.0,On leave,17369
E09000025,7.0,Student / training,24146
E09000025,8.0,Inactive,14350
E09000030,1.0,Employed,120095
E09000030,3.0,Unemployed,15988
E09000030,4.0,Retired,17975
E09000030,5.0,On leave,13294
E09000030,7.0,Student / training,17102
E09000030,8.0,Inactive,13740
