ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,hiqual_dv_2,hiqual_dv_2_pct,marstat_dv,marstat_dv_pct,marstat_dv_2,marstat_dv_2_pct,tenure_dv,tenure_dv_pct,hhtype_dv,hhtype_dv_pct,hhtype_dv_2,hhtype_dv_2_pct,racel_dv_2,racel_dv_2_pct,tenure_dv_2,tenure_dv_2_pct,tribe_description
E06000009,Blackpool,Employed,1,Young White British Fathers,13225,1993,38.9,2.4,Male,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,Degree,35,A-level etc,32.0,Married/Civil partner,45,Never married,34.0,Owned with mortgage,61,Couple with 2 children,23,Couple with 1 child,16.0,,,,,"This cluster consists entirely of young, highly educated White British men, predominantly married and owning their homes with a mortgage. They are often part of families with one or two children, enjoying very good health."
E06000009,Blackpool,Employed,2,Older White British Wives,14596,3058,60.7,2.6,Female,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,99,Degree,29,GCSE etc,25.0,Married/Civil partner,61,,,Owned with mortgage,51,"3 or more adults, no children, incl. at least one couple",18,"Couple both under pensionable age, no children",15.0,,,,,"This cluster comprises older, predominantly White British women, mostly married and owning their homes with a mortgage. They often live in multi-adult households without children or as couples under pensionable age, enjoying good health."
E06000009,Blackpool,Employed,3,Young White British Mothers,12344,2081,38.1,2.4,Female,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,Degree,40,A-level etc,30.0,Married/Civil partner,40,Never married,39.0,Owned with mortgage,59,Couple with 2 children,22,Couple with 1 child,14.0,,,,,"This cluster is exclusively made up of young, highly educated White British women, often married or never married, who own their homes with a mortgage. They are typically part of families with one or two children, reporting very good health."
E06000009,Blackpool,Employed,4,Diverse Educated Homeowners,4250,1374,48.9,2.6,Male,51,Employed,100,White: Other,28,Degree,41,A-level etc,20.0,Married/Civil partner,57,,,Owned with mortgage,47,Couple with 2 children,17,"3 or more adults, no children, incl. at least one couple",12.0,Asian: Indian,15.0,Owned outright,17.0,"This is the most ethnically diverse cluster, featuring a significant proportion of 'White: Other' and 'Asian: Indian' individuals. They are middle-aged, highly educated with the highest degree attainment, predominantly married homeowners, and often live in families with children or multi-adult households."
E06000009,Blackpool,Employed,5,Older White British Husbands,16239,3005,61.2,2.7,Male,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,99,Degree,28,A-level etc,24.0,Married/Civil partner,70,,,Owned with mortgage,54,"3 or more adults, no children, incl. at least one couple",18,"Couple both under pensionable age, no children",17.0,,,,,"This largest cluster consists entirely of older, predominantly White British men, with the highest rate of being married. They are typically mortgaged homeowners, often living in multi-adult households without children or as couples under pensionable age, reporting good health."
E06000009,Blackpool,Inactive,1,Middle-Aged Single White Renters,1510,143,40.5,4.0,Female,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,100,GCSE etc,39,A-level etc,26.0,Never married,52,,,Local authority rent,29,Couple with 2 children,13,"3 or more adults, no children, incl. at least one couple",12.0,,,Owned with mortgage,22.0,"This cluster consists entirely of middle-aged White British women, over half of whom have never married. They typically have mid-level qualifications and live in rented local authority housing or own with a mortgage, often in family or multi-adult households."
E06000009,Blackpool,Inactive,2,Older Female Renters and Owners,2633,296,64.5,4.4,Female,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,99,No qualification,27,GCSE etc,23.0,Married/Civil partner,32,Divorced/dissolved civil partner,28.0,Local authority rent,30,"1 adult under pensionable age, no children",20,"1 female, age 60+, no children",17.0,,,Owned outright,26.0,"This cluster comprises older White British women, many of whom are divorced or married, with a significant proportion having no formal qualifications. They predominantly live in local authority rented accommodation or own their homes outright, often as single adult households."
E06000009,Blackpool,Inactive,3,Diverse Middle-Aged Renters,652,101,53.6,4.1,Female,55,Inactive,100,Asian: Pakistani,18,GCSE etc,30,No qualification,27.0,Never married,49,Married/Civil partner,27.0,Local authority rent,24,"1 adult under pensionable age, no children",23,"3 or more adults, no children, incl. at least one couple",12.0,White: Other,13.0,Owned with mortgage,21.0,"This is the smallest and most ethnically diverse cluster, featuring a significant proportion of Asian Pakistani and Other White individuals, alongside White British. These older middle-aged adults are often never married, have lower qualifications, and live in a mix of local authority rented or mortgaged homes, frequently as single or multi-adult households."
E06000009,Blackpool,Inactive,4,Young Single Male Homeowners,1426,64,33.5,3.3,Male,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,100,A-level etc,33,GCSE etc,31.0,Never married,75,,,Owned with mortgage,30,"3 or more adults, no children, incl. at least one couple",19,Couple with 2 children,14.0,,,Owned outright,20.0,"This cluster is characterized by young, healthy, White British men, three-quarters of whom have never married. They tend to have higher qualifications and are more likely to own their homes, either with a mortgage or outright, often living in multi-adult or family households."
E06000009,Blackpool,Inactive,5,Older Married Male Renters,2369,222,62.3,4.4,Male,100,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,99,GCSE etc,25,No qualification,23.0,Married/Civil partner,41,Never married,29.0,Local authority rent,26,"1 adult under pensionable age, no children",32,"Couple both under pensionable age, no children",14.0,,,Owned outright,23.0,"This cluster consists of older White British men, many of whom are married or civil partners, with a notable proportion having no qualifications. They primarily live in local authority rented housing or own their homes outright, often as single adults or couples without children."
E06000009,Blackpool,On leave,1,Young White Professional Families,775,191,40.5,2.3,Female,97,On leave,100,White: British/English/Scottish/Welsh/N. Irish,100,Degree,50,,,Married/Civil partner,71,,,Owned with mortgage,66,Couple with 2 children,43,Couple with 1 child,29.0,,,,,"This cluster consists of relatively young, highly educated White British women, predominantly married and homeowners with a mortgage. They are typically in nuclear families with one or two children and report very good health."
E06000009,Blackpool,On leave,2,White Other Professional Families,271,50,46.1,2.7,Female,98,On leave,100,White: Other,56,Degree,24,Other higher degree,20.0,Married/Civil partner,72,,,Owned with mortgage,50,Couple with 2 children,26,Couple with 1 child,20.0,,,,,"This small cluster comprises middle-aged women from 'White: Other' ethnic backgrounds, largely married and homeowners with a mortgage. They are well-educated and typically live in nuclear families with one or two children."
E06000009,Blackpool,On leave,3,Older White British Homeowners,1593,297,61.1,3.0,Female,87,On leave,100,White: British/English/Scottish/Welsh/N. Irish,99,GCSE etc,33,A-level etc,19.0,Married/Civil partner,74,,,Owned outright,36,"3 or more adults, no children, incl. at least one couple",20,"Couple 1 or more over pensionable age, no children",15.0,,,Owned with mortgage,34.0,"This is the largest and oldest cluster, consisting predominantly of White British women who are married and own their homes, often outright. Households typically consist of older couples or multiple adults without children, reflecting a post-child-rearing life stage."
E06000009,Blackpool,On leave,4,Asian Multi-Generational Families,264,120,49.7,3.1,Female,98,On leave,100,Asian: Pakistani,49,No qualification,40,A-level etc,18.0,Married/Civil partner,88,,,Owned with mortgage,37,"3 or more adults, 1–2 children, incl. at least one couple",22,Couple with 3 or more children,21.0,Asian: Bangladeshi,30.0,Owned outright,30.0,"This cluster is characterized by middle-aged women of Asian (Pakistani/Bangladeshi) ethnicity, who have the highest marriage rate and lowest educational attainment in the group. They typically live in large, multi-generational households with several children."
E06000009,Blackpool,On leave,5,Young White Renting Mothers,1233,81,38.4,3.3,Female,100,On leave,100,White: British/English/Scottish/Welsh/N. Irish,100,GCSE etc,46,A-level etc,30.0,Never married,37,Living as couple,26.0,Rented private unfurnished,42,"1 adult, 2 or more children",33,Couple with 3 or more children,14.0,,,Local authority rent,38.0,"This is the youngest cluster, composed entirely of White British women, many of whom are single mothers or in unmarried partnerships with large families. They are predominantly renters, living in either private unfurnished or local authority housing."
E06000009,Blackpool,Retired,1,Younger Educated Retired Men,5801,1247,73.8,2.9,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,95,Degree,24,A-level etc,24.0,Married/Civil partner,72,,,Owned outright,77,"Couple 1 or more over pensionable age, no children",51,,,,,,,"This cluster consists exclusively of younger retired men, averaging 74 years old, with a significant proportion holding higher education qualifications. Most are married and own their homes outright, often living as couples."
E06000009,Blackpool,Retired,2,Married Female Homeowners,5226,1568,77.6,2.9,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,97,GCSE etc,27,No qualification,22.0,Married/Civil partner,88,,,Owned outright,86,"Couple 1 or more over pensionable age, no children",80,,,,,,,"This group comprises retired women, predominantly in their late 70s, who are overwhelmingly married and own their homes outright. They typically live as couples and have lower educational attainment compared to other groups."
E06000009,Blackpool,Retired,3,Oldest Widowed Women Living Alone,6216,814,88.9,3.3,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,96,No qualification,41,Other qualification,18.0,Widowed/surviving civil partner,78,,,Owned outright,76,"1 female, age 60+, no children",85,,,,,,,"Characterized by the oldest average age at nearly 89, this cluster consists entirely of widowed women living alone. A large majority have no formal qualifications and own their homes."
E06000009,Blackpool,Retired,4,Divorced Single Female Retirees,3568,622,75.2,3.3,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,87,No qualification,21,GCSE etc,21.0,Divorced/dissolved civil partner,48,Widowed/surviving civil partner,27.0,Owned outright,61,"1 female, age 60+, no children",77,,,,,,,"This cluster represents younger retired women, many of whom are divorced or widowed and live alone. They have a slightly lower rate of homeownership compared to other retired groups."
