ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,hiqual_dv_2,hiqual_dv_2_pct,marstat_dv,marstat_dv_pct,tenure_dv,tenure_dv_pct,tenure_dv_2,tenure_dv_2_pct,hhtype_dv,hhtype_dv_pct,hhtype_dv_2,hhtype_dv_2_pct,marstat_dv_2,marstat_dv_2_pct,tribe_description,racel_dv_2,racel_dv_2_pct
E06000009,Blackpool,Employed,1,Young Renters and Sharers,1415,22,29.4,2.4,Male,50,Employed,100,White: British/English/Scottish/Welsh/N. Irish,95,GCSE etc,45,A-level etc,36.0,Never married,91,Owned with mortgage,45,Rented private unfurnished,23.0,"2 adults, not a couple, 1 or more children",59,,,,,Adults under 40 who are single and live in shared multi-adult households or with partners without children often renting privately or with mortgages and generally reporting good health.,,
E06000009,Blackpool,Employed,2,Single Mothers in Private Housing,1142,16,37.2,2.7,Female,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,GCSE etc,62,,,Never married,88,Rented private unfurnished,69,,,"1 adult, 1 child",69,,,,,Women in their 30s and 40s heading single-parent households typically renting privately with low-to-moderate qualifications and fair-to-good health.,,
E06000009,Blackpool,Employed,3,Married Families with Children,1291,22,55.9,2.5,Male,68,Employed,100,White: British/English/Scottish/Welsh/N. Irish,91,No qualification,91,,,Married/Civil partner,91,Owned with mortgage,68,,,Couple with 1 child,36,Couple with 2 children,36.0,,,Married or cohabiting couples with dependent children usually holding mortgages spanning a wide age range with working fathers often self-employed.,,
E06000009,Blackpool,Employed,4,Midlife Divorced and Separated Women,1537,22,58.6,2.8,Female,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,95,GCSE etc,50,,,Divorced/dissolved civil partner,45,Owned with mortgage,55,,,"2 adults, not a couple, 1 or more children",45,"1 adult, 1 child",32.0,Never married,36.0,Women aged 45 to 65 who are divorced separated or widowed often still living with older children or adult children in mixed tenure including mortgages and private rentals.,,
E06000009,Blackpool,Employed,5,Pre-Retirement Workers,1060,14,66.9,2.8,Male,50,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,64,,,Divorced/dissolved civil partner,36,Owned with mortgage,50,,,"2 adults, not a couple, 1 or more children",29,"3 or more adults, no children, excl. any couples",29.0,Never married,36.0,Workers aged 60 and over approaching or past traditional retirement age in varied household types including solo living or with adult children typically homeowners or long-term renters.,,
E06000009,Blackpool,Employed,6,Solo Working-Age Men,239,4,44.5,3.0,Male,100,Employed,100,White: British/English/Scottish/Welsh/N. Irish,50,GCSE etc,50,,,Never married,50,Rented from employer,50,,,"1 adult under pensionable age, no children",50,,,,,Men of working age living alone or in shared housing without children who are single or divorced spanning various tenures including council and private rental.,,
E06000009,Blackpool,Inactive,1,Older Residents with Chronic Ill Health,2104,46,66.9,4.5,Male,61,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,93,No qualification,83,,,Never married,37,Rented private unfurnished,30,Housing association rented,20.0,"1 adult under pensionable age, no children",46,"3 or more adults, no children, excl. any couples",11.0,Divorced/dissolved civil partner,26.0,Adults aged 60 and over who are long-term sick or disabled and typically living alone or with a partner in rented accommodation with no qualifications and poor health.,,
E06000009,Blackpool,Inactive,2,Working-age Parents Facing Health Barriers,1332,23,39.5,4.0,Female,57,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,87,GCSE etc,43,No qualification,39.0,Never married,61,Rented private unfurnished,61,,,"1 adult, 2 or more children",30,"2 adults, not a couple, 1 or more children",30.0,,,Working-age adults under 60 who are long-term sick but have dependent children at home as single parents or in couples often in social or private rented housing.,,
E06000009,Blackpool,Inactive,3,Middle-aged Singles with Long-term Sickness,1551,31,43.7,3.9,Male,68,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,94,No qualification,61,,,Never married,87,Rented private unfurnished,35,Owned with mortgage,16.0,"1 adult under pensionable age, no children",39,"3 or more adults, no children, excl. any couples",32.0,,,Working-age adults under 60 who are long-term sick or disabled living alone or in multi-adult households without children predominantly in private rentals with no qualifications and poor health.,,
E06000009,Blackpool,On leave,1,Single Mothers in Rental Housing,1380,47,41.0,3.1,Female,96,On leave,100,White: British/English/Scottish/Welsh/N. Irish,89,GCSE etc,38,A-level etc,21.0,Never married,62,Rented private unfurnished,40,Local authority rent,30.0,"1 adult, 2 or more children",62,,,,,Women in their 30s and 40s raising children alone as single divorced or separated parents typically renting privately or from social housing with moderate to poor health and lower qualifications.,,
E06000009,Blackpool,On leave,2,Partnered Parents with Children,409,30,43.8,2.6,Female,87,On leave,100,White: British/English/Scottish/Welsh/N. Irish,87,A-level etc,33,GCSE etc,33.0,Married/Civil partner,77,Owned with mortgage,43,Rented private unfurnished,43.0,Couple with 1 child,43,Couple with 2 children,30.0,,,Married or cohabiting couples with children at home often holding mortgages or renting privately spanning ages 30 to 50 with generally good health and more stable housing situations.,,
E06000009,Blackpool,On leave,3,Older Home-Based Carers,444,23,62.8,2.9,Female,83,On leave,100,White: British/English/Scottish/Welsh/N. Irish,91,No qualification,52,,,Married/Civil partner,57,Owned outright,30,Owned with mortgage,30.0,"3 or more adults, 1–2 children, incl. at least one couple",22,"2 adults, not a couple, 1 or more children",13.0,,,Adults aged 50 and over often without dependent children at home including widowed divorced or married empty-nesters many living in owned or mortgaged properties and experiencing varied health.,,
E06000009,Blackpool,Retired,1,Widowed and Single Men Owning Their Homes Alone,725,23,84.2,3.3,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,,,Never married,43,Owned outright,96,,,"1 male, aged 65+, no children",100,,,Widowed/surviving civil partner,26.0,Men aged 74-100 who own their homes outright and live independently after losing partners or remaining single - most have fair to good health despite advanced age and no formal qualifications.,,
E06000009,Blackpool,Retired,2,Elderly Men Renting Alone,633,11,77.9,3.6,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,91,,,Widowed/surviving civil partner,36,Rented private unfurnished,64,,,"1 male, aged 65+, no children",82,,,Divorced/dissolved civil partner,36.0,Men in their 70s-80s living alone in privately rented or social housing with no qualifications and often fair to poor health - a more economically vulnerable group of solo retirees.,,
E06000009,Blackpool,Retired,3,Widowed Women Renting Alone,510,15,86.5,3.3,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,93,No qualification,100,,,Widowed/surviving civil partner,87,Rented private unfurnished,73,,,"1 female, age 60+, no children",100,,,,,Women aged 73-102 mostly widowed or divorced who rent privately and live alone - many have no qualifications and varying health from excellent to poor.,,
E06000009,Blackpool,Retired,4,Independent Women Homeowners Living Alone,185,6,79.0,3.5,Female,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,,,Divorced/dissolved civil partner,67,Owned outright,50,,,"1 female, age 60+, no children",100,,,,,Women in their 70s-90s who own their homes outright or hold mortgages and live independently with generally good health - a more financially secure group of solo female retirees.,,
E06000009,Blackpool,Retired,5,Pensioner Couples and Companions,548,14,83.1,3.3,Male,50,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,,,Widowed/surviving civil partner,36,Owned outright,36,Rented private unfurnished,36.0,"2 adults, not a couple, one or more over pensionable age, no children",100,,,Divorced/dissolved civil partner,29.0,Pairs of pensioners sharing a household whether married or not - includes both homeowners and renters with varied health typically in their mid-70s to late 90s.,,
E06000009,Blackpool,Retired,6,Retirees in Multi-generational Family Homes,1195,19,79.5,3.3,Male,63,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,68,,,Married/Civil partner,42,Owned outright,53,,,"2 adults, not a couple, 1 or more children",42,"3 or more adults, no children, incl. at least one couple",42.0,Divorced/dissolved civil partner,21.0,Older adults living with extended family including adult children in two-adult-plus-child or three-plus-couple arrangements - often homeowners with better health suggesting family support networks.,,
E06000009,Blackpool,Retired,7,Older Adults in Shared Non-couple Households,729,12,81.6,4.0,Male,50,Retired,100,White: British/English/Scottish/Welsh/N. Irish,83,No qualification,58,,,Widowed/surviving civil partner,50,Owned with mortgage,42,Owned outright,33.0,"3 or more adults, no children, excl. any couples",100,,,,,Elderly individuals in households with three or more adults but no couple structure - often widowed with poor health living in rented or mortgaged properties in complex shared arrangements.,,
E06000009,Blackpool,Student / training,1,Students Living with Single Parents,1480,51,24.6,2.4,Male,53,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,92,GCSE etc,45,A-level etc,25.0,Never married,98,Owned with mortgage,53,,,"1 adult, 2 or more children",61,,,,,Young adults aged 22-27 studying while residing in single-parent households across various tenure types including social housing and private rent with mixed education levels and moderate health.,,
E06000009,Blackpool,Student / training,2,Students in Two-Parent Family Homes,829,43,24.5,2.0,Male,65,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,91,No qualification,47,A-level etc,30.0,Never married,100,Owned with mortgage,60,,,"2 adults, not a couple, 1 or more children",63,,,,,Students in their early-to-mid 20s living with two adults or couples with children predominantly in mortgaged family homes reporting very good to excellent health.,,
E06000009,Blackpool,Student / training,3,Independent and Shared-Housing Students,139,6,26.2,2.2,Male,50,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,100,A-level etc,50,,,Never married,100,Owned with mortgage,50,,,"3 or more adults, no children, excl. any couples",83,,,,,Slightly older students aged 24-29 living independently either alone or in shared multi-person households without family ties typically in privately rented or owner-occupied accommodation.,,
E06000009,Blackpool,Unemployed,1,Older Pre-Retirement Jobseekers,910,28,63.9,3.3,Male,64,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,96,No qualification,75,,,Never married,46,Local authority rent,29,Owned outright,21.0,"1 adult under pensionable age, no children",32,"3 or more adults, no children, excl. any couples",14.0,Married/Civil partner,21.0,Adults aged 55 and over who are unemployed and often approaching pension age with limited qualifications and frequently reporting fair or poor health living alone or in smaller households.,,
E06000009,Blackpool,Unemployed,2,Lone Parents Seeking Work,1083,21,38.5,2.9,Female,76,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,90,GCSE etc,57,,,Never married,81,Owned with mortgage,29,Local authority rent,24.0,"1 adult, 1 child",57,,,,,Single mothers and fathers of all ages who are raising one or more children without a partner typically renting from social landlords or private landlords with mixed health and education levels.,,
E06000009,Blackpool,Unemployed,3,Younger Adults in Shared Households,1778,51,34.1,2.9,Male,67,Unemployed,100,White: British/English/Scottish/Welsh/N. Irish,88,GCSE etc,41,No qualification,39.0,Never married,80,Owned with mortgage,35,Rented private unfurnished,22.0,"2 adults, not a couple, 1 or more children",22,"3 or more adults, no children, excl. any couples",18.0,,,Working-age adults under 55 who are not single parents including young couples with children adults sharing with housemates or family and solo younger adults with varied education and generally better health.,,
E06000047,County Durham,Employed,1,Young Singles Starting Out,3923,25,29.7,2.2,Female,56,Employed,100,White: British/English/Scottish/Welsh/N. Irish,92,A-level etc,40,GCSE etc,36.0,Never married,88,Owned with mortgage,48,Rented private unfurnished,16.0,"2 adults, not a couple, 1 or more children",80,,,,,Adults under 40 who are single without dependent children - often renting or early mortgage holders living in shared or multi-adult households with generally good health,,
E06000047,County Durham,Employed,2,Working Single Parents,3334,23,49.4,2.5,Female,96,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,GCSE etc,65,,,Never married,61,Owned with mortgage,43,Rented private unfurnished,35.0,"1 adult, 1 child",70,,,,,Single divorced or separated workers of various ages raising children alone - typically renting privately or in social housing with moderate health outcomes,,
E06000047,County Durham,Employed,3,Middle-aged Families with Children,2366,17,45.4,2.5,Male,53,Employed,100,White: British/English/Scottish/Welsh/N. Irish,76,No qualification,76,,,Married/Civil partner,100,Owned with mortgage,65,,,Couple with 3 or more children,35,Couple with 2 children,29.0,,,Married or cohabiting workers aged 35-54 with dependent children in couple households - usually mortgage holders with moderate to good health,,
E06000047,County Durham,Employed,4,Older Working Couples,2941,15,65.2,2.4,Male,73,Employed,100,White: British/English/Scottish/Welsh/N. Irish,93,No qualification,93,,,Married/Civil partner,87,Owned with mortgage,60,,,Couple with 1 child,60,,,,,Married or cohabiting workers aged 55 and over whose children may still be at home - established homeowners with mortgages and generally good health despite older age,,
E06000047,County Durham,Employed,5,Older Solo Homeowners,571,5,73.8,2.0,Male,60,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,,,Never married,60,Owned outright,60,,,"1 male, aged 65+, no children",60,,,,,Workers aged 65 and over living alone in homes they own outright - mostly single or widowed men and women with varied health maintaining independence through continued employment,,
E06000047,County Durham,Employed,6,Older Unpartnered Workers,3081,15,60.1,3.1,Female,87,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,47,GCSE etc,27.0,Divorced/dissolved civil partner,33,Owned with mortgage,87,,,"2 adults, not a couple, 1 or more children",87,,,Never married,33.0,Workers aged 55 and over who are single divorced separated or widowed but not living alone - often in multi-adult households with mortgages and variable health,,
E06000047,County Durham,Inactive,1,Older Chronically Ill Social Renters,5624,52,66.7,4.5,Male,52,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,98,No qualification,90,,,Never married,44,Local authority rent,35,Housing association rented,31.0,"1 adult under pensionable age, no children",40,"2 adults, not a couple, both under pensionable age, no children",10.0,Divorced/dissolved civil partner,29.0,Adults aged 60 and over who are long-term sick or disabled with poor to fair health and typically living alone or in pensioner households in council or housing association properties with no formal qualifications.,,
E06000047,County Durham,Inactive,2,Working-Age Disabled with Families,3898,32,47.2,4.3,Female,56,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,97,No qualification,72,,,Never married,53,Local authority rent,34,Housing association rented,25.0,"1 adult under pensionable age, no children",16,"1 adult, 2 or more children",16.0,,,Adults aged 35 to 59 who are long-term sick or disabled with predominantly poor health often living in family households with children in a mix of social and private rental housing.,,
E06000047,County Durham,Inactive,3,Younger Inactive Adults,2735,16,28.8,3.6,Male,56,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,94,No qualification,50,,,Never married,88,Local authority rent,31,Owned with mortgage,25.0,"2 adults, not a couple, 1 or more children",31,"3 or more adults, no children, excl. any couples",31.0,,,Adults under 35 who are economically inactive due to long-term sickness or other reasons with more variable health outcomes often young parents or living in shared multi-person households.,,
E06000047,County Durham,On leave,1,Lone Parent Carers in Rented Housing,3818,47,41.0,3.0,Female,96,On leave,100,White: British/English/Scottish/Welsh/N. Irish,85,GCSE etc,40,A-level etc,19.0,Never married,60,Rented private unfurnished,36,Local authority rent,32.0,"1 adult, 2 or more children",62,,,,,Predominantly female single divorced or separated parents aged 27-59 living in council housing association or private rented accommodation with lower formal qualifications and often fair to poor health,,
E06000047,County Durham,On leave,2,Partnered Family Homemakers,1346,26,44.8,2.5,Female,81,On leave,100,White: British/English/Scottish/Welsh/N. Irish,92,GCSE etc,42,A-level etc,19.0,Married/Civil partner,85,Owned with mortgage,58,,,Couple with 2 children,35,Couple with 1 child,31.0,,,Married or cohabiting adults typically aged 30-60 caring for children at home often with mortgage or housing association tenure and generally reporting good to very good health,,
E06000047,County Durham,On leave,3,Older Homemakers and Grandparent Carers,1600,27,67.8,3.6,Female,78,On leave,100,White: British/English/Scottish/Welsh/N. Irish,96,No qualification,59,,,Married/Civil partner,56,Owned outright,44,Local authority rent,33.0,"Couple 1 or more over pensionable age, no children",26,"3 or more adults, no children, incl. at least one couple",19.0,,,Women and men aged 60 and over including married couples in pensionable-age households and widowed individuals often owning their homes outright or in council housing and caring for extended family members,,
E06000047,County Durham,Retired,1,Widowed Elderly Living with Family,3434,24,84.4,3.3,Female,58,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,83,,,Widowed/surviving civil partner,58,Owned outright,71,,,"2 adults, not a couple, one or more over pensionable age, no children",46,"2 adults, not a couple, 1 or more children",38.0,,,Widowed retirees typically in their 80s and 90s living in multi-generational households with adult children or extended family in owner-occupied homes often experiencing fair to poor health.,,
E06000047,County Durham,Retired,2,Married Pensioner Couples,1167,14,81.9,3.4,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,86,,,Married/Civil partner,100,Owned outright,57,,,"3 or more adults, no children, incl. at least one couple",71,,,,,Married retirees living as couples or with extended family predominantly in homes they own outright or with a mortgage enjoying variable but often reasonable health.,,
E06000047,County Durham,Retired,3,Single and Widowed Homeowners Living Alone,1193,16,83.4,3.5,Male,100,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,,,Never married,75,Owned outright,100,,,"1 male, aged 65+, no children",100,,,,,Never-married or widowed men living alone in homes they own outright spanning ages from mid-70s to late 90s with health ranging from very good to poor.,,
E06000047,County Durham,Retired,4,Social Housing Tenants,2406,28,78.1,3.6,Male,82,Retired,100,White: British/English/Scottish/Welsh/N. Irish,96,No qualification,100,,,Never married,36,Local authority rent,75,,,"1 male, aged 65+, no children",50,,,Widowed/surviving civil partner,32.0,Retirees in council or housing association accommodation often living alone or in shared households with notably higher rates of poor health across various marital statuses.,,
E06000047,County Durham,Retired,5,Private Renters,1011,12,77.3,3.7,Male,75,Retired,100,White: British/English/Scottish/Welsh/N. Irish,92,No qualification,100,,,Widowed/surviving civil partner,50,Rented private unfurnished,92,,,"1 male, aged 65+, no children",58,,,,,Retirees renting privately often living alone or with one other person with diverse marital backgrounds and generally fair to poor health.,,
E06000047,County Durham,Retired,6,Divorced and Separated Homeowners,578,6,69.5,3.2,Male,83,Retired,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,67,,,Divorced/dissolved civil partner,50,Owned with mortgage,83,,,"1 adult, 1 child",33,"2 adults, not a couple, one or more over pensionable age, no children",33.0,,,Divorced or separated retirees who own their homes or hold mortgages living alone or with adult children often in their 60s to 80s with moderate health.,,
E06000047,County Durham,Student / training,1,Young Couples Studying While Raising Children,1737,25,23.6,2.1,Male,56,Student / training,100,White: British/English/Scottish/Welsh/N. Irish,92,No qualification,100,,,Never married,100,Owned with mortgage,56,,,Couple with 2 children,48,Couple with 1 child,28.0,,,Partnered students or trainees in their early-to-mid 20s living with a spouse or cohabiting partner and one to three or more children typically in mortgaged or owned family homes with generally good health.,,
