ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,marstat_dv,marstat_dv_pct,tenure_dv,tenure_dv_pct,hhtype_dv,hhtype_dv_pct
E09000018,Hounslow,3.0,1,Unemployed Multi-Generational Homeowners,5019,249,44.2,2.9,Male,55,Unemployed,100,White,42,GCSE etc,31,Never married,54,Rented,62,"1 adult, no children",13
E09000018,Hounslow,3.0,2,Single Parents in Rented Housing,958,19,43.8,3.1,Female,74,Unemployed,100,Pakistani / Bangladeshi,42,GCSE etc,32,Never married,58,Rented,84,"1 adult, 1 child",37
E09000018,Hounslow,3.0,3,Elderly Widowed or Divorced Renters,552,10,61.7,3.3,Female,70,Unemployed,100,White,40,No qualification,60,Never married,40,Rented,60,"2 adults (not a couple), with children",30
E09000018,Hounslow,3.0,4,Young Unmarried Adults in Shared Housing,1037,21,48.7,3.2,Male,62,Unemployed,100,White,48,No qualification,29,Never married,67,Rented,71,"3+ adults (no couple), no children",57
E09000018,Hounslow,3.0,5,Married Couples with Children in Various Tenures,1597,40,45.3,2.6,Male,60,Unemployed,100,Pakistani / Bangladeshi,52,GCSE etc,32,Never married,50,Rented,60,"Couple, 2 children",28
E09000018,Hounslow,5.0,1,Mature South Asian Family Caregivers,8283,409,47.7,2.8,Female,95,On leave,100,Pakistani / Bangladeshi,42,GCSE etc,24,Married/Civil partner,73,Rented,52,"Couple, 3+ children",21
E09000018,Hounslow,5.0,2,Young Single Mothers in Social Housing,526,9,42.4,2.4,Female,100,On leave,100,White,67,No qualification,44,Never married,56,Rented,89,"1 adult, 1 child",67
E09000018,Hounslow,5.0,5,Older Couples with Home Ownership,418,6,65.2,2.8,Female,83,On leave,100,Pakistani / Bangladeshi,50,No qualification,67,Married/Civil partner,67,Owner-occupied,67,"Couple, 1 child",33
E09000018,Hounslow,7.0,1,Young Diverse Student Families,8180,492,26.7,2.2,Female,51,Student / training,100,White,43,A-level etc,42,Never married,96,Owner-occupied,57,"3+ adults (incl. couple), 1–2 children",22
E09000018,Hounslow,7.0,2,Young Single Students in Shared Housing,1149,28,28.7,1.9,Male,71,Student / training,100,White,43,A-level etc,54,Never married,96,Rented,61,"3+ adults (no couple), no children",54
E09000018,Hounslow,7.0,3,Mature Students in Varied Housing,166,3,40.7,2.0,Male,100,Student / training,100,Pakistani / Bangladeshi,67,Degree,67,Never married,67,Rented,67,"1 adult, no children",67
E09000018,Hounslow,7.0,4,Young Students in Couple Households,1449,32,25.1,2.0,Male,62,Student / training,100,Pakistani / Bangladeshi,62,No qualification,41,Never married,100,Owner-occupied,53,"Couple, 3+ children",41
E09000018,Hounslow,8.0,1,Elderly and Long-Term Sick in Shared Housing,5780,304,52.8,4.0,Female,53,Inactive,100,White,68,No qualification,37,Never married,49,Rented,72,"1 adult, no children",21
E09000018,Hounslow,8.0,3,Single Parents with Limited Qualifications,981,14,47.9,4.1,Female,71,Inactive,100,White,29,No qualification,43,Never married,50,Rented,86,"1 adult, 1 child",43
E09000018,Hounslow,8.0,4,Middle-Aged and Elderly Couples with Children,404,6,57.5,3.3,Male,67,Inactive,100,Pakistani / Bangladeshi,67,GCSE etc,50,Married/Civil partner,83,Owner-occupied,50,"Couple, 2 children",50
