ladcd,ladnm,group,cluster_id,tribe_label,size,n_respondents,age,health,sex_dv,sex_dv_pct,jbstat,jbstat_pct,racel_dv,racel_dv_pct,hiqual_dv,hiqual_dv_pct,marstat_dv,marstat_dv_pct,tenure_dv,tenure_dv_pct,tenure_dv_2,tenure_dv_2_pct,hhtype_dv,hhtype_dv_pct,hhtype_dv_2,hhtype_dv_2_pct,marstat_dv_2,marstat_dv_2_pct,hiqual_dv_2,hiqual_dv_2_pct,tribe_description,racel_dv_2,racel_dv_2_pct
E06000009,Blackpool,Employed,1,Young Working Households,2410,35,32.2,2.5,Female,69,Employed,100,White: British/English/Scottish/Welsh/N. Irish,97,GCSE etc,54,Never married,94,Rented private unfurnished,40,Owned with mortgage,34.0,"2 adults, not a couple, 1 or more children",37,"1 adult, 1 child",31.0,,,,,"This cluster comprises younger employed adults, typically in their 20s and 30s, who are often single parents, young couples with or without children, or living in multi-adult households. They are a mix of private renters and mortgage holders, often with GCSE or A-level qualifications.",,
E06000009,Blackpool,Employed,2,Mid-Life Family Providers,2385,34,50.1,2.7,Female,62,Employed,100,White: British/English/Scottish/Welsh/N. Irish,85,No qualification,50,Married/Civil partner,32,Owned with mortgage,62,,,"2 adults, not a couple, 1 or more children",32,"1 adult, 2 or more children",18.0,Never married,29.0,,,"This group consists of employed adults primarily in their 40s and 50s, who are often married or divorced and raising children. They are predominantly mortgage holders, though some are private renters, and typically have varied educational backgrounds.",,
E06000009,Blackpool,Employed,3,Older Independent Earners,1388,23,65.7,2.9,Female,74,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,43,Divorced/dissolved civil partner,48,Rented private unfurnished,57,,,"1 adult, 1 child",26,"2 adults, not a couple, 1 or more children",17.0,Never married,26.0,GCSE etc,39.0,"This cluster includes older employed individuals, ranging from late 50s to 70s, who are frequently divorced, single, or widowed. They often live alone, as single parents, or in smaller adult households, with a mix of private renting and mortgage ownership.",,
E06000009,Blackpool,Employed,4,Senior Working Homeowners,501,8,67.0,2.1,Male,88,Employed,100,White: British/English/Scottish/Welsh/N. Irish,100,No qualification,100,Married/Civil partner,88,Owned with mortgage,75,,,Couple with 1 child,50,,,,,,,"These are older employed adults, mostly in their 60s and 70s, who are typically married or cohabiting and own their homes outright or with a mortgage. They often live as couples, sometimes with adult children, and generally report good health.",,
E06000009,Blackpool,Inactive,1,"Younger Inactive, Struggling Renters",1531,31,39.3,4.5,Female,52,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,94,No qualification,52,Never married,74,Rented private unfurnished,48,Local authority rent,16.0,"1 adult under pensionable age, no children",19,"1 adult, 2 or more children",16.0,,,,,"This group consists of younger adults, often single or in multi-adult households, who are inactive due to fair to poor health. They predominantly rent their homes and often have no formal qualifications.",,
E06000009,Blackpool,Inactive,2,"Older Inactive, Vulnerable Renters/Owners",2293,51,65.4,4.6,Male,63,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,92,No qualification,78,Never married,41,Rented private unfurnished,33,Housing association rented,18.0,"1 adult under pensionable age, no children",45,"3 or more adults, no children, excl. any couples",12.0,Divorced/dissolved civil partner,27.0,,,"This cluster comprises older individuals, many divorced, widowed, or single, who are inactive due to fair to poor health. They live in various household types, including solo or older couple arrangements, and have mixed housing tenure.",,
E06000009,Blackpool,Inactive,3,"Inactive, Healthier & Diverse",1163,18,43.6,2.5,Male,67,Inactive,100,White: British/English/Scottish/Welsh/N. Irish,89,No qualification,56,Never married,78,Rented private unfurnished,39,Owned with mortgage,22.0,"1 adult under pensionable age, no children",22,"2 adults, not a couple, 1 or more children",22.0,,,,,"This group includes individuals of various ages, though often younger or middle-aged, who are inactive but report good to excellent health. They represent diverse household types and tenures, suggesting varied reasons for inactivity beyond severe health limitations.",,
E06000009,Blackpool,On leave,1,Young Parents on Leave,175,13,36.8,2.2,Female,92,On leave,100,White: British/English/Scottish/Welsh/N. Irish,92,A-level etc,31,Never married,46,Rented private unfurnished,38,Owned with mortgage,23.0,"1 adult, 2 or more children",23,Couple with 2 children,23.0,Married/Civil partner,38.0,GCSE etc,31.0,"This cluster comprises younger adults, predominantly in their 20s to early 40s, who are on maternity, shared parental, or adoption leave, often living in single-parent or couple-with-children households. They are typically in good health and frequently rent their homes.",,
E06000009,Blackpool,On leave,2,Working-Age Family Carers,1520,58,41.1,2.9,Female,93,On leave,100,White: British/English/Scottish/Welsh/N. Irish,86,GCSE etc,38,Never married,40,Rented private unfurnished,47,Local authority rent,22.0,"1 adult, 2 or more children",41,Couple with 1 child,16.0,Married/Civil partner,28.0,A-level etc,26.0,"This large group consists of working-age adults, from their 20s to early 50s, who are on leave for family care. They often live in households with children, including many single parents or couples with multiple children, and have diverse marital statuses and housing tenures, with many renting.",,
E06000009,Blackpool,On leave,3,Older Adult Carers,538,29,62.8,3.2,Female,83,On leave,100,White: British/English/Scottish/Welsh/N. Irish,93,No qualification,41,Married/Civil partner,52,Owned with mortgage,41,Owned outright,21.0,"3 or more adults, 1–2 children, incl. at least one couple",14,"1 adult, 1 child",10.0,,,GCSE etc,34.0,"This cluster includes older adults, generally aged 55 and above, who are on leave to provide family care. They are often married, divorced, or widowed, living in older couple households, solo adult households, or multi-adult households, and are more likely to own their homes, with some reporting fair or poor health.",,
