tribe_label,size,Age,Sex (Derived),Sex (Derived) %,Ethnic group,Ethnic group %,Highest qualification,Employment status,Marital status,Marital status %,Housing tenure (Own/Rent),Housing tenure (Own/Rent) %,Composition of household (LFS),Composition of household (LFS) %,Self-rated general health,Self-rated general health %,cluster_level
1,7844,56.8,Female,54,White,89,2.7,Employed: 87% | On leave: 5% | Inactive: 4%,Married/Civil partner,79,Owner-occupied,79,"Couple, no children",50,Good,37,national
10,218,39.2,Female,72,White,47,3.2,Employed: 54% | Student / training: 21% | Unemployed: 12%,Never married,73,Rented,65,"3+ adults (no couple), with children",100,Good,35,national
2,1348,44.5,Female,54,Pakistani / Bangladeshi,99,3.2,Employed: 50% | On leave: 16% | Student / training: 14%,Married/Civil partner,60,Owner-occupied,63,"3+ adults (incl. couple), 1–2 children",29,Good,38,national
3,6614,79.6,Female,54,White,96,3.4,Retired: 97% | Employed: 2% | Inactive: 1%,Married/Civil partner,68,Owner-occupied,88,"Couple, no children",63,Good,36,national
4,2427,48.5,Female,52,White,87,2.1,Employed: 88% | On leave: 7% | Unemployed: 2%,Married/Civil partner,85,Owner-occupied,85,"Couple, 2 children",100,Very good,40,national
5,375,42.9,Female,87,White,75,2.8,Employed: 55% | Student / training: 17% | On leave: 14%,Never married,56,Rented,63,"1 adult, 2+ children",100,Good,34,national
6,1699,47.0,Female,53,White,90,2.4,Employed: 81% | On leave: 8% | Student / training: 5%,Married/Civil partner,73,Owner-occupied,78,"Couple, 1 child",100,Very good,38,national
7,1702,68.6,Female,69,White,89,3.2,Employed: 48% | Retired: 39% | Inactive: 9%,Divorced/dissolved civil partner,100,Owner-occupied,63,"1 adult, no children",68,Good,33,national
8,42,44.9,Female,69,White,86,2.6,Employed: 55% | Retired: 14% | Unemployed: 10%,Not provided,100,Owner-occupied,67,"2 adults (not a couple), no children",31,Very good,38,national
9,5061,39.3,Female,54,White,78,2.8,Employed: 60% | Student / training: 22% | Unemployed: 9%,Never married,93,Owner-occupied,61,"1 adult, no children",29,Very good,35,national
