variable_id,description,pct_nonnegative
pidp,Cross-wave person identifier (public release),100.0
pid,personal identifier (BHPS cohort),20.6448
n_hidp,Household identifier (public release),100.0
n_hhorig,"Sample origin, household",100.0
n_memorig,"Sample origin, individual",100.0
n_psu,Primary sampling unit,100.0
n_strata,Sampling strata,100.0
n_sampst,Sample status,100.0
n_month,sample month,100.0
n_quarter,sample quarter,100.0
n_ivfio,Individual level outcome,100.0
n_ioutcome,Individual outcome,100.0
n_chkrespweb1,Confirm respondent's details web: All correct,56.6265
n_chkrespweb5,"No, title is wrong",72.4801
n_chkrespweb2,"Confirm respondent's details web: No, name is wrong",56.6265
n_chkrespweb3,"Confirm respondent's details web: No, date of birth is wrong",56.6265
n_chkrespweb4,"Confirm respondent's details web: No, sex is wrong",56.6265
n_loginscreen,Enter numeric access code,14.6401
n_addrchckweb,Respondent confirms first line of address,10.5015
n_chooseiv,Identify self from HH members list,4.1245
n_chkrespwebb,Confirm respondent web,14.705
n_chkwebtitle,Correct title,1.9301
n_chkwebsex,Check Respondent sex web,0.0776
n_respchild1,PNO of child responsible for - PNO 1,13.9123
n_respchild2,PNO of child responsible for - PNO 2,13.9123
n_respchild3,PNO of child responsible for - PNO 3,13.9123
n_respchild4,PNO of child responsible for - PNO 4,13.9123
n_respchild5,PNO of child responsible for - PNO 5,13.9123
n_respchild6,PNO of child responsible for - PNO 6,13.9123
n_respchild7,PNO of child responsible for - PNO 7,13.9123
n_respchild8,PNO of child responsible for - PNO 8,13.9123
n_respchild9,PNO of child responsible for - PNO 9,13.9123
n_respchild10,PNO of child responsible for - PNO 10,13.9123
n_respchild11,PNO of child responsible for - PNO 11,13.9123
n_respchild12,PNO of child responsible for - PNO 12,13.9123
n_respchild13,PNO of child responsible for - PNO 13,13.9123
n_respchild14,PNO of child responsible for - PNO 14,13.9123
n_respchild15,PNO of child responsible for - PNO 15,13.9123
n_respchild16,PNO of child responsible for - PNO 16,13.9123
n_pwcu18abs1,PNO of child under 18 the adult is responsible for - PNO 1,99.0736
n_pwcu18abs2,PNO of child under 18 the adult is responsible for - PNO 2,99.0736
n_pwcu18abs3,PNO of child under 18 the adult is responsible for - PNO 3,99.0736
n_pwcu18abs4,PNO of child under 18 the adult is responsible for - PNO 4,99.0736
n_pwcu18abs5,PNO of child under 18 the adult is responsible for - PNO 5,99.0736
n_pwcu18abs6,PNO of child under 18 the adult is responsible for - PNO 6,99.0736
n_pwcu18abs7,PNO of child under 18 the adult is responsible for - PNO 7,99.0736
n_pwcu18abs8,PNO of child under 18 the adult is responsible for - PNO 8,99.0736
n_pwcu18abs9,PNO of child under 18 the adult is responsible for - PNO 9,99.0736
n_pwcu18abs10,PNO of child under 18 the adult is responsible for - PNO 10,99.0736
n_pwcu18abs11,PNO of child under 18 the adult is responsible for - PNO 11,99.0736
n_pwcu18abs12,PNO of child under 18 the adult is responsible for - PNO 12,99.0736
n_pwcu18abs13,PNO of child under 18 the adult is responsible for - PNO 13,99.0736
n_pwcu18abs14,PNO of child under 18 the adult is responsible for - PNO 14,99.0736
n_pwcu18abs15,PNO of child under 18 the adult is responsible for - PNO 15,99.0736
n_pwcu18abs16,PNO of child under 18 the adult is responsible for - PNO 16,99.0736
n_pwcu131,PNO of child 0-12 the adult is responsible for - PNO 1,99.5939
n_pwcu132,PNO of child 0-12 the adult is responsible for - PNO 2,99.5939
n_pwcu133,PNO of child 0-12 the adult is responsible for - PNO 3,99.5939
n_pwcu134,PNO of child 0-12 the adult is responsible for - PNO 4,99.5939
n_pwcu135,PNO of child 0-12 the adult is responsible for - PNO 5,99.5939
n_pwcu136,PNO of child 0-12 the adult is responsible for - PNO 6,99.5939
n_pwcu137,PNO of child 0-12 the adult is responsible for - PNO 7,99.5939
n_pwcu138,PNO of child 0-12 the adult is responsible for - PNO 8,99.5939
n_pwcu139,PNO of child 0-12 the adult is responsible for - PNO 9,99.5939
n_pwcu1310,PNO of child 0-12 the adult is responsible for - PNO 10,99.5939
n_pwcu1311,PNO of child 0-12 the adult is responsible for - PNO 11,99.5939
n_pwcu1312,PNO of child 0-12 the adult is responsible for - PNO 12,99.5939
n_pwcu1313,PNO of child 0-12 the adult is responsible for - PNO 13,99.5939
n_pwcu1314,PNO of child 0-12 the adult is responsible for - PNO 14,99.5939
n_pwcu1315,PNO of child 0-12 the adult is responsible for - PNO 15,99.5939
n_pwcu1316,PNO of child 0-12 the adult is responsible for - PNO 16,99.5939
n_pwc10151,PNO of child 10-15 the adult is responsible for - PNO 1,99.5939
n_pwc10152,PNO of child 10-15 the adult is responsible for - PNO 2,99.5939
n_pwc10153,PNO of child 10-15 the adult is responsible for - PNO 3,99.5939
n_pwc10154,PNO of child 10-15 the adult is responsible for - PNO 4,99.5939
n_pwc10155,PNO of child 10-15 the adult is responsible for - PNO 5,99.5939
n_pwc10156,PNO of child 10-15 the adult is responsible for - PNO 6,99.5939
n_pwc10157,PNO of child 10-15 the adult is responsible for - PNO 7,99.5939
n_pwc10158,PNO of child 10-15 the adult is responsible for - PNO 8,99.5939
n_pwc10159,PNO of child 10-15 the adult is responsible for - PNO 9,99.5939
n_pwc101510,PNO of child 10-15 the adult is responsible for - PNO 10,99.5939
n_pwc101511,PNO of child 10-15 the adult is responsible for - PNO 11,99.5939
n_pwc101512,PNO of child 10-15 the adult is responsible for - PNO 12,99.5939
n_pwc101513,PNO of child 10-15 the adult is responsible for - PNO 13,99.5939
n_pwc101514,PNO of child 10-15 the adult is responsible for - PNO 14,99.5939
n_pwc101515,PNO of child 10-15 the adult is responsible for - PNO 15,99.5939
n_pwc101516,PNO of child 10-15 the adult is responsible for - PNO 16,99.5939
n_pwcu16abs1,PNO of child <16 the adult is responsible forand other parent absent - PNO 1,99.6956
n_pwcu16abs2,PNO of child <16 the adult is responsible forand other parent absent - PNO 2,99.6956
n_pwcu16abs3,PNO of child <16 the adult is responsible forand other parent absent - PNO 3,99.6956
n_pwcu16abs4,PNO of child <16 the adult is responsible forand other parent absent - PNO 4,99.6956
n_pwcu16abs5,PNO of child <16 the adult is responsible forand other parent absent - PNO 5,99.6956
n_pwcu16abs6,PNO of child <16 the adult is responsible forand other parent absent - PNO 6,99.6956
n_pwcu16abs7,PNO of child <16 the adult is responsible forand other parent absent - PNO 7,99.6956
n_pwcu16abs8,PNO of child <16 the adult is responsible forand other parent absent - PNO 8,99.6956
n_pwcu16abs9,PNO of child <16 the adult is responsible forand other parent absent - PNO 9,99.6956
n_pwcu16abs10,PNO of child <16 the adult is responsible forand other parent absent - PNO 10,99.6956
n_pwcu16abs11,PNO of child <16 the adult is responsible forand other parent absent - PNO 11,99.6956
n_pwcu16abs12,PNO of child <16 the adult is responsible forand other parent absent - PNO 12,99.6956
n_pwcu16abs13,PNO of child <16 the adult is responsible forand other parent absent - PNO 13,99.6956
n_pwcu16abs14,PNO of child <16 the adult is responsible forand other parent absent - PNO 14,99.6956
n_pwcu16abs15,PNO of child <16 the adult is responsible forand other parent absent - PNO 15,99.6956
n_pwcu16abs16,PNO of child <16 the adult is responsible forand other parent absent - PNO 16,99.6956
n_gridcompletedby1,PNO of person who completed the HHGrid - PNO 1,99.6824
n_gridcompletedby2,PNO of person who completed the HHGrid - PNO 2,99.6824
n_gridcompletedby3,PNO of person who completed the HHGrid - PNO 3,99.6824
n_gridcompletedby4,PNO of person who completed the HHGrid - PNO 4,99.6824
n_gridcompletedby5,PNO of person who completed the HHGrid - PNO 5,99.6824
n_gridcompletedby6,PNO of person who completed the HHGrid - PNO 6,99.6824
n_gridcompletedby7,PNO of person who completed the HHGrid - PNO 7,99.6824
n_gridcompletedby8,PNO of person who completed the HHGrid - PNO 8,99.6824
n_gridcompletedby9,PNO of person who completed the HHGrid - PNO 9,99.6824
n_gridcompletedby10,PNO of person who completed the HHGrid - PNO 10,99.6824
n_gridcompletedby11,PNO of person who completed the HHGrid - PNO 11,99.6824
n_gridcompletedby12,PNO of person who completed the HHGrid - PNO 12,99.6824
n_gridcompletedby13,PNO of person who completed the HHGrid - PNO 13,99.6824
n_gridcompletedby14,PNO of person who completed the HHGrid - PNO 14,99.6824
n_gridcompletedby15,PNO of person who completed the HHGrid - PNO 15,99.6824
n_gridcompletedby16,PNO of person who completed the HHGrid - PNO 16,99.6824
n_hgbiochm1,PNO of child 0-15 in household where resp is biological mother - PNO 1,99.6956
n_hgbiochm2,PNO of child 0-15 in household where resp is biological mother - PNO 2,99.6956
n_hgbiochm3,PNO of child 0-15 in household where resp is biological mother - PNO 3,99.6956
n_hgbiochm4,PNO of child 0-15 in household where resp is biological mother - PNO 4,99.6956
n_hgbiochm5,PNO of child 0-15 in household where resp is biological mother - PNO 5,99.6956
n_hgbiochm6,PNO of child 0-15 in household where resp is biological mother - PNO 6,99.6956
n_hgbiochm7,PNO of child 0-15 in household where resp is biological mother - PNO 7,99.6956
n_hgbiochm8,PNO of child 0-15 in household where resp is biological mother - PNO 8,99.6956
n_hgbiochm9,PNO of child 0-15 in household where resp is biological mother - PNO 9,99.6956
n_hgbiochm10,PNO of child 0-15 in household where resp is biological mother - PNO 10,99.6956
n_hgbiochm11,PNO of child 0-15 in household where resp is biological mother - PNO 11,99.6956
n_hgbiochm12,PNO of child 0-15 in household where resp is biological mother - PNO 12,99.6956
n_hgbiochm13,PNO of child 0-15 in household where resp is biological mother - PNO 13,99.6956
n_hgbiochm14,PNO of child 0-15 in household where resp is biological mother - PNO 14,99.6956
n_hgbiochm15,PNO of child 0-15 in household where resp is biological mother - PNO 15,99.6956
n_hgbiochm16,PNO of child 0-15 in household where resp is biological mother - PNO 16,99.6956
n_hgbiochf1,PNO of child 0-15 in household where resp is biological father - PNO 1,99.6956
n_hgbiochf2,PNO of child 0-15 in household where resp is biological father - PNO 2,99.6956
n_hgbiochf3,PNO of child 0-15 in household where resp is biological father - PNO 3,99.6956
n_hgbiochf4,PNO of child 0-15 in household where resp is biological father - PNO 4,99.6956
n_hgbiochf5,PNO of child 0-15 in household where resp is biological father - PNO 5,99.6956
n_hgbiochf6,PNO of child 0-15 in household where resp is biological father - PNO 6,99.6956
n_hgbiochf7,PNO of child 0-15 in household where resp is biological father - PNO 7,99.6956
n_hgbiochf8,PNO of child 0-15 in household where resp is biological father - PNO 8,99.6956
n_hgbiochf9,PNO of child 0-15 in household where resp is biological father - PNO 9,99.6956
n_hgbiochf10,PNO of child 0-15 in household where resp is biological father - PNO 10,99.6956
n_hgbiochf11,PNO of child 0-15 in household where resp is biological father - PNO 11,99.6956
n_hgbiochf12,PNO of child 0-15 in household where resp is biological father - PNO 12,99.6956
n_hgbiochf13,PNO of child 0-15 in household where resp is biological father - PNO 13,99.6956
n_hgbiochf14,PNO of child 0-15 in household where resp is biological father - PNO 14,99.6956
n_hgbiochf15,PNO of child 0-15 in household where resp is biological father - PNO 15,99.6956
n_hgbiochf16,PNO of child 0-15 in household where resp is biological father - PNO 16,99.6956
n_istrtdathh,Individual interview start time (hours),99.9968
n_istrtdatmm,Individual interview start time (minutes),99.9968
n_istrtdatss,Individual interview start time (seconds),99.9968
n_istrtdaty,Individual interview start date (year),99.9964
n_istrtdatm,Interview start date (month),99.9964
n_istrtdatd,Individual interview start date (day),99.9964
n_chkresp1,All correct,39.1603
n_chkresp5,"No, title is wrong",13.3931
n_chkresp2,"No, name is wrong",39.1603
n_chkresp3,"No, date of birth is wrong",39.1603
n_chkresp4,"No, sex is wrong",39.1603
n_dcsex,Correct sex,1.2338
n_xpmovy11,Family related reasons,9.4482
n_xpmovy12,Education related reasons,9.4482
n_xpmovy13,Employment related reasons,9.4482
n_xpmovy14,Housing related reasons,9.4482
n_xpmovy15,Area related reasons,9.4482
n_xpmovy197,Other reason,9.4482
n_alljbstat1,Self employed,99.5442
n_alljbstat2,Paid employment(ft/pt),99.5442
n_alljbstat12,Furloughed/Job Support Scheme,99.5442
n_alljbstat13,Temporarily laid off/short time working,99.5442
n_alljbstat3,Unemployed,99.5442
n_alljbstat4,Retired,99.5442
n_alljbstat5,On maternity leave,99.5442
n_alljbstat14,On shared parental leave,99.5442
n_alljbstat15,On adoption leave,99.5442
n_alljbstat6,Family care or home,99.5442
n_alljbstat7,Full-time student,99.5442
n_alljbstat8,LT sick or disabled,99.5442
n_alljbstat9,Govt training scheme,99.5442
n_alljbstat10,"Unpaid, family business",99.5442
n_alljbstat11,On apprenticeship,99.5442
n_alljbstat97,Doing something else,99.5442
n_mobcomp,Has a tablet or iPad,96.7172
n_dsktcomp,Access to mobile technology: Desktop computer,93.2793
n_laptop,Access to mobile technology: Laptop,93.2809
n_smtphone,Access to mobile technology: Smartphone,93.2632
n_tablet,Access to mobile technology: Tablet,93.2215
n_ftphone,Access to mobile technology: Feature phone / non-touchscreen mobile phone,93.0027
n_ereader,Access to mobile technology: E-book reader,93.0973
n_smtwatch,Access to mobile technology: Smartwatch,93.0893
n_othdevce,Access to mobile technology: Other,92.4023
n_browse,Frequency of using the internet: Browsing websites,93.4059
n_email,Frequency of using the internet: Email,93.3634
n_smlook,Frequency of using the internet: Looking at Social Media,93.3378
n_smpost,Frequency of using the internet: Posting on Social Media,93.3113
n_onlinebuy,Frequency of using the internet: Online buying,93.3129
n_onlinebank,Frequency of using the internet: Online banking,93.3017
n_gaming,Frequency of using the internet: Gaming,93.3153
n_streaming,Frequency of using the internet: Streaming videos,93.2809
n_streammusic,Frequency of using the internet: Streaming music,94.0705
n_mreason1,"Reason for migration: For work (e.g. wanted to work and earn money in the UK, to",4.9833
n_mreason2,Reason for migration: Joined partner or spouse already living in the UK,4.9833
n_mreason3,Reason for migration: Joined other family members already living in the UK,4.9833
n_mreason4,Reason for migration: Moved together with family members,4.9833
n_mreason5,Reason for migration: Education (e.g. wanted to study here or take language clas,4.9833
n_mreason6,Reason for migration: Political (did not feel safe in the country of birth),4.9833
n_mreason7,Reason for migration: Simply wanted to live in another country / in the UK,4.9833
n_mreason97,Reason for migration: Other,4.9833
n_citzn1,UK citizen uk citizen,3.1315
n_citzn2,citizen of country of birth,3.1315
n_citzn3,citizen of other country,3.1315
n_qfvoc1,Vocational qualifications: Youth training certificate,7.2251
n_qfvoc2,Vocational qualifications: Key Skills,7.2251
n_qfvoc3,Vocational qualifications: Basic skills,7.2251
n_qfvoc4,Vocational qualifications: Entry lvl qual (Wales),7.2251
n_qfvoc5,Vocational qualifications: Modern/trade apprentice,7.2251
n_qfvoc6,Vocational qualifications: RSA/OCR/Cleri/comm qual,7.2251
n_qfvoc7,Vocational qualifications: City and Guilds Cert,7.2251
n_qfvoc8,Vocational qualifications: GNVQ/GSVQ,7.2251
n_qfvoc16,NVQ/SVQ,5.7603
n_qfvoc11,Vocational qualifications: HNC/HND,7.2251
n_qfvoc12,Vocational qualifications: ONC/OND,7.2251
n_qfvoc13,Vocational qualifications: BTEC/BEC/TEC/EdExcel/LQL,7.2251
n_qfvoc14,Vocational qualifications: SCOTVEC/SCOTEC/SCOTBEC,7.2251
n_qfvoc15,Vocational qualifications: Other voc/tech/prof qual,7.2251
n_qfvoc96,Vocational qualifications: None of the above,7.2251
n_apprent1,Traditional apprenticeship,0.1939
n_apprent2,Intermediate/Level 2/Foundation Modern,0.1939
n_apprent3,Advanced/Level 3/Advanced Modern,0.1939
n_apprent4,Higher/Level 4 or 5,0.1939
n_apprent5,Degree/Level 6,0.3034
n_apprent6,Degree/Level 7,0.3034
n_rsaocr1,"RSA/OCR level: RSA certificate (including Stage I,II & III) / OCR Level 1",0.1851
n_rsaocr2,RSA/OCR level: Diploma / OCR Level 2,0.1851
n_rsaocr3,RSA/OCR level: Advanced diploma or advanced certificate / OCR Level 3,0.1851
n_rsaocr4,RSA/OCR level: Higher diploma / OCR Level 4,0.1851
n_citygld1,Part 1 / Foundation,0.4799
n_citygld2,Part 2 / Craft / Intermediate,0.4799
n_citygld3,Part 3 / Advanced Craft / Final,0.4799
n_citygld4,Part 4 / Career Extension / Full Technological Certificate,0.4799
n_gnsvq1,Foundation,0.1176
n_gnsvq2,Intermediate,0.1176
n_gnsvq3,Advanced,0.1176
n_nsvq1,NVQ/SVQ level: Level 1,0.6961
n_nsvq2,NVQ/SVQ level: Level 2,0.6961
n_nsvq3,NVQ/SVQ level: Level 3,0.6961
n_nsvq4,NVQ/SVQ level: Level 4,0.6961
n_nsvq5,NVQ/SVQ level: Level 5,0.6961
n_nsvq6,NVQ/SVQ level: Other NVQ/SVQ qualification,0.6961
n_btec1,First certificate or general certificate (below level 2),0.6729
n_btec2,First diploma or general diploma (level 2),0.6729
n_btec3,National Certificate or National Diploma level (level 3),0.6729
n_btec4,Higher level (level 4 or higher),0.6729
n_scotvec1,SCOTVEC/SCOTEC/SCOTBEC level: Modules towards a National Certificate,0.0276
n_scotvec2,SCOTVEC/SCOTEC/SCOTBEC level: First certificate or general certificate (below le,0.0276
n_scotvec3,SCOTVEC/SCOTEC/SCOTBEC level: First diploma or general diploma (level 2),0.0276
n_scotvec4,SCOTVEC/SCOTEC/SCOTBEC level: Full National Certificate(level 3),0.0276
n_scotvec5,SCOTVEC/SCOTEC/SCOTBEC level: Higher level (level 4),0.0276
n_ncs,National Citizen Service participation,12.0493
n_pgprob,Country father's father born in,13.5787
n_pgmrob,Country father's mother born in,13.5744
n_mgprob,Country mother's father born in,13.6578
n_mgmrob,Country mother's mother born in,13.7046
n_lvag16,Living with biological parents at 16,13.9242
n_agelh,Age stopped living with both biological parents,2.923
n_lvag14,Who living with at age 14,3.2026
n_ynlp14,Why not living with both biological parents,2.9494
n_natid1,National identity: English,11.3153
n_natid2,National identity: Welsh,11.3153
n_natid3,National identity: Scottish,11.3153
n_natid4,National identity: Northern Irish,11.3153
n_natid5,National identity: British,11.3153
n_natid6,National identity: Irish,11.3153
n_natid97,National identity: Other,11.3153
n_racelo_code,Specific code for generic ethnic groups,0.5542
n_racelot_code,Specific code for other ethnic groups,0.0592
n_racel_dv,"Ethnic group incorp. all waves, codings, modes and bhps",98.1482
n_spaid,Strength of identification with father's ethnicity,4.3247
n_smaid,Strength of identification with mother's ethnicity,0.7471
n_englang,English is first language,13.7882
n_kidlang,Childhood language,55.1684
n_ethid2,Importance of language spoken at home,5.1431
n_ethid3,Importance of English language,10.9483
n_ethid4a,Importance of own religion,7.6439
n_ethid4b,Importance of religion brought up in,2.0754
n_ethid5,Importance of region/city where live,10.9876
n_ethid6,Importance of country where born,5.0204
n_ethid7,Importance of region/city where grew up,10.9905
n_ethid8,Importance of mother's COB,5.0398
n_ethid9,Importance of father's COB,1.0855
n_ethid10,Importance of maternal grandmother's COB,2.0012
n_ethid11,Importance of maternal grandfather's COB,0.2347
n_ethid12,Importance of paternal grandmother's COB,0.242
n_ethid13,Importance of paternal grandfather's COB,0.2047
n_ethid14,Importance of skin colour,10.942
n_ethclose1,Closeness to speaker of same language,10.9803
n_ethclose2a,Closeness to someone of same religion as own,7.6279
n_ethclose2b,Closeness to someone of same religion as brought up in,2.0832
n_ethclose3,Closeness to compatriot,10.9944
n_ethclose4a,Closeness to someone of same region as brought up in,10.9954
n_ethclose4b,Closeness to someone of same region as currently live,10.9949
n_ethclose5,Closeness to someone of mother's COB,5.0359
n_ethclose6,Closeness to someone of father's COB,1.0845
n_ethclose7,Closeness to someone of maternal grandmother's COB,2.0041
n_ethclose8,Closeness to someone of maternal grandfather's COB,0.2347
n_ethclose9,Closeness to someone of paternal grandmother's COB,0.2435
n_ethclose10,Closeness to someone of paternal grandfather's COB,0.2056
n_ethclose11,Closeness to someone with same skin colour,10.974
n_pride2,Pride in language brought up in,4.7124
n_pride4a,Pride in own religion,6.6001
n_pride4b,Pride in religion brought up in,0.6068
n_pride6,Pride in birth country,4.1964
n_pride7,Pride in region brought up in,8.5455
n_pride5,Pride in region live in,7.9068
n_pride8,Pride in mother's COB,3.6653
n_pride9,Pride in father's COB,0.7067
n_pride10,Pride in maternal grandmother's COB,1.5128
n_pride11,Pride in maternal grandfather's COB,0.1339
n_pride12,Pride in paternal grandmother's COB,0.1276
n_pride13,Pride in paternal grandfather's COB,0.1067
n_pride14,Pride in colour of skin,6.7025
n_food1,Eats food from where born,10.973
n_food2,Eats food from mother's COB,5.0253
