variable_id,description,pct_nonnegative
pidp,Cross-wave person identifier (public release),100.0
pid,personal identifier (BHPS cohort),20.6448
n_hidp,Household identifier (public release),100.0
n_hhorig,"Sample origin, household",100.0
n_memorig,"Sample origin, individual",100.0
n_psu,Primary sampling unit,100.0
n_strata,Sampling strata,100.0
n_sampst,Sample status,100.0
n_month,sample month,100.0
n_quarter,sample quarter,100.0
n_ivfio,Individual level outcome,100.0
n_ioutcome,Individual outcome,100.0
n_chkrespweb1,Confirm respondent's details web: All correct,56.6265
n_loginscreen,Enter numeric access code,14.6401
n_addrchckweb,Respondent confirms first line of address,10.5015
n_chooseiv,Identify self from HH members list,4.1245
n_chkrespwebb,Confirm respondent web,14.705
n_chkwebtitle,Correct title,1.9301
n_chkwebsex,Check Respondent sex web,0.0776
n_respchild1,PNO of child responsible for - PNO 1,13.9123
n_pwcu18abs1,PNO of child under 18 the adult is responsible for - PNO 1,99.0736
n_pwcu131,PNO of child 0-12 the adult is responsible for - PNO 1,99.5939
n_pwc10151,PNO of child 10-15 the adult is responsible for - PNO 1,99.5939
n_pwcu16abs1,PNO of child <16 the adult is responsible forand other parent absent - PNO 1,99.6956
n_gridcompletedby1,PNO of person who completed the HHGrid - PNO 1,99.6824
n_hgbiochm1,PNO of child 0-15 in household where resp is biological mother - PNO 1,99.6956
n_hgbiochf1,PNO of child 0-15 in household where resp is biological father - PNO 1,99.6956
n_istrtdathh,Individual interview start time (hours),99.9968
n_istrtdatmm,Individual interview start time (minutes),99.9968
n_istrtdatss,Individual interview start time (seconds),99.9968
n_istrtdaty,Individual interview start date (year),99.9964
n_istrtdatm,Interview start date (month),99.9964
n_istrtdatd,Individual interview start date (day),99.9964
n_chkresp1,All correct,39.1603
n_dcsex,Correct sex,1.2338
n_xpmovy11,Family related reasons,9.4482
n_alljbstat1,Self employed,99.5442
n_mobcomp,Has a tablet or iPad,96.7172
n_dsktcomp,Access to mobile technology: Desktop computer,93.2793
n_laptop,Access to mobile technology: Laptop,93.2809
n_smtphone,Access to mobile technology: Smartphone,93.2632
n_tablet,Access to mobile technology: Tablet,93.2215
n_ftphone,Access to mobile technology: Feature phone / non-touchscreen mobile phone,93.0027
n_ereader,Access to mobile technology: E-book reader,93.0973
n_smtwatch,Access to mobile technology: Smartwatch,93.0893
n_othdevce,Access to mobile technology: Other,92.4023
n_browse,Frequency of using the internet: Browsing websites,93.4059
n_email,Frequency of using the internet: Email,93.3634
n_smlook,Frequency of using the internet: Looking at Social Media,93.3378
n_smpost,Frequency of using the internet: Posting on Social Media,93.3113
n_onlinebuy,Frequency of using the internet: Online buying,93.3129
n_onlinebank,Frequency of using the internet: Online banking,93.3017
n_gaming,Frequency of using the internet: Gaming,93.3153
n_streaming,Frequency of using the internet: Streaming videos,93.2809
n_streammusic,Frequency of using the internet: Streaming music,94.0705
n_mreason1,"Reason for migration: For work (e.g. wanted to work and earn money in the UK, to",4.9833
n_citzn1,UK citizen uk citizen,3.1315
n_qfvoc1,Vocational qualifications: Youth training certificate,7.2251
n_apprent1,Traditional apprenticeship,0.1939
n_rsaocr1,"RSA/OCR level: RSA certificate (including Stage I,II & III) / OCR Level 1",0.1851
n_citygld1,Part 1 / Foundation,0.4799
n_gnsvq1,Foundation,0.1176
n_nsvq1,NVQ/SVQ level: Level 1,0.6961
n_btec1,First certificate or general certificate (below level 2),0.6729
n_scotvec1,SCOTVEC/SCOTEC/SCOTBEC level: Modules towards a National Certificate,0.0276
n_ncs,National Citizen Service participation,12.0493
n_pgprob,Country father's father born in,13.5787
n_pgmrob,Country father's mother born in,13.5744
n_mgprob,Country mother's father born in,13.6578
n_mgmrob,Country mother's mother born in,13.7046
n_lvag16,Living with biological parents at 16,13.9242
n_agelh,Age stopped living with both biological parents,2.923
n_ynlp14,Why not living with both biological parents,2.9494
n_natid1,National identity: English,11.3153
n_racelo_code,Specific code for generic ethnic groups,0.5542
n_racelot_code,Specific code for other ethnic groups,0.0592
n_racel_dv,"Ethnic group incorp. all waves, codings, modes and bhps",98.1482
n_spaid,Strength of identification with father's ethnicity,4.3247
n_smaid,Strength of identification with mother's ethnicity,0.7471
n_englang,English is first language,13.7882
n_kidlang,Childhood language,55.1684
n_ethid2,Importance of language spoken at home,5.1431
n_ethid4a,Importance of own religion,7.6439
n_ethid4b,Importance of religion brought up in,2.0754
n_ethclose1,Closeness to speaker of same language,10.9803
n_ethclose2a,Closeness to someone of same religion as own,7.6279
n_ethclose2b,Closeness to someone of same religion as brought up in,2.0832
n_ethclose4a,Closeness to someone of same region as brought up in,10.9954
n_ethclose4b,Closeness to someone of same region as currently live,10.9949
n_pride2,Pride in language brought up in,4.7124
n_pride4a,Pride in own religion,6.6001
n_pride4b,Pride in religion brought up in,0.6068
n_food1,Eats food from where born,10.973
n_servuse1,Service use in last 12 months: Your local doctor,17.7887
n_cancertyp1,Bowel/colorectal,0.2402
n_brainnervtyp1,Parkinson's disease,0.0981
n_gvupreas5,Family and friends want me to stop,7.3471
n_aidhua1,Resp. aids person number 1,7.2431
n_partpregfh,Partner pregnant,3.0758
n_pregduedffh,Pregnancy due day father,0.0874
n_pregduemffh,Pregnancy due month father,0.0874
n_pregdueyffh,Pregnancy due year father,0.0874
n_preg0fh,Currently pregnant,7.1157
n_pregduedmfh,Pregnancy due day mother,0.1692
n_pregduemmfh,Pregnancy due month mother,0.172
n_pregdueymfh,Pregnancy due year mother,0.172
n_reltopwcffh,Relationship to child's father,0.0338
n_pregftfh1,In vitro fertilisation treatment,0.0113
n_movy11,Family related reasons,6.968
n_moveoth_code,moved for other reasons,1.2637
n_partpreg,Partner pregnant,8.5506
n_pregduedf,Pregnancy due day father,0.1945
n_pregduemf,Pregnancy due month father,0.1945
n_pregdueyf,Pregnancy due year father,0.0789
n_father,Fathered children since last interview,30.0159
n_nchild,Number of new children,1.0096
n_preg0,Currently pregnant,18.494
n_pregduedm,Pregnancy due day mother,0.358
n_pregduemm,Pregnancy due month mother,0.3609
n_pregdueym,Pregnancy due year mother,0.3158
n_reltopwcf,Relationship to child's father,0.0846
n_nnewborn,Number of newborns since last interview,89.2066
n_cancertypn1,Bowel/colorectal,1.6101
n_brainnervtypn1,Parkinson's disease,0.4486
n_qualnew1,New qualifications gained: Higher Degree,3.0911
n_napprent1,New apprenticeship level (obtained since last interview): Intermediate/Level 2/F,0.0044
n_nrsaocr1,New RSA/OCR level (obtained since last interview): RSA certificate (including St,0.0031
n_ncitygld1,New City and Guilds level (obtained since last interview): Part 1 / Foundation,0.0469
n_ngnsvq1,New GNVQ/GSVQ level (obtained since last interview): Foundation,0.0057
n_nnsvq1,New NVQ/SVQ level (obtained since last interview): Level 1,0.0816
n_nbtec1,New GNVQ/GSVQ level (obtained since last interview): First certificate or genera,0.2356
n_nscotvec1,Modules towards a National Certificate,0.0009
n_trqual1,Training qualifications gained: Higher Degree,5.9564
n_trapprent1,Intermediate/Level 2/Foundation Modern,0.0548
n_trrsaocr1,New training: RSA/OCR level (obtained since last interview): RSA certificate (in,0.0088
n_trcitygld1,New training: City and Guilds level (obtained since last interview): Part 1 / Fo,0.1904
n_trgnsvq1,New training: GNVQ/GSVQ level (obtained since last interview): Foundation,0.0171
n_trnsvql1,New training: NVQ/SVQ level (obtained since last interview): Level 1,0.415
n_trbtec1,New training: BTEC/BEC/TEC/EdExcel/LQL level (obtained since last interview): Fi,0.0811
n_trscotvec1,New training: SCOTVEC/SCOTEC/SCOTBEC level (obtained since last interview): Modu,0.0026
n_stendreas1,Reason most recent job ended: Promoted,4.9157
n_matlvnew1,Maternity leave,1.0984
n_matlvcode1,maternity leave no. 1: Type of leave taken - computed,0.9489
n_jbendreas1,Reason job ended: Promoted,3.7558
n_nxtendreas1,Reason job ended: Promoted,0.932
n_jbwah,Working at home,35.4598
n_ovtpay,Additional pay for extra hours,30.0928
n_wktrv1,Drive myself by car or van,38.9743
n_firmdecline,Refused employer link information,10.6936
n_jswah,Working at home,4.3328
n_jswktrv1,Drive myself by car or van,4.1331
n_workdis,Distance from work,45.231
n_journeysat,Satisfaction with commute,41.202
n_workpark,Availability workplace parking,40.7124
n_workparkpay,Pay for work parking,36.6161
n_wkphys,Physicality of job,52.9134
n_jbperfp,Pay includes performance related pay,46.0264
n_jbonus,Pay includes bonuses or profit share,46.1489
n_jbrise,Pay includes annual increments,45.4697
n_tujbpl,Union or staff association at workplace,44.8035
n_tuin1,Member of workplace union,28.0837
n_jbpen,Pension: Employer runs a pension scheme,45.4989
n_jbpenm,Pension: Member of employer's scheme,36.1025
n_jbpeny4,Year pension started,28.9687
n_penmcn,Contributions made to employer's pension scheme,29.2591
n_penmpy,Percentage of pay/salary made,19.5257
n_penmtp,Final pension calculated,18.074
n_penspb,Partner receives benefits under occup pension scheme,18.6269
n_wktime,Times of day usually worked,53.2932
n_wkends,Usually works weekends,53.3065
n_jbflex1,Flexible working arrangements: Part-time working,45.4772
n_jbfxuse1,Flexible work use: Part-time working,34.9488
n_jbfxinf,Informal flexible working arrangements,46.1047
n_wktech1,Desktop computer,54.0036
n_wktechinet1,Desktop computer,45.2025
n_wkhome,Working at/from home frequency,54.0175
n_wkaut1,Autonomy over job tasks,53.2452
n_depenth1,Feels tense about job,53.1723
n_jblkcha,Would like: Better job with same employer,52.9377
n_jbxpcha,Expect: Better job with same employer,52.1507
n_jblkchb,Would like: Work related training,53.0248
n_jbxpchb,Expect: Work related training,52.1957
n_jblkchc,Would like: New job with a new employer,52.424
n_jbxpchc,Expect: New job with a new employer,51.3581
n_jblkchd,Would like: Start own business,52.884
n_jbxpchd,Expect: Start own business,52.6215
n_jblkche,Would like: Give up paid work,53.1015
n_jbxpche,Expect: Give up paid work,52.8111
n_jbsec,Job security in next 12 months,45.4268
n_nestlink,NEST consent,83.5045
n_nestesent,Email reminder sent of agreement for consent link to NEST records,29.6892
n_julk4x1,Looked for work in last 4 weeks: Applied directly to an employer,3.2367
n_mlrnotnew1,I prefer to look after my child(ren) myself,0.1962
n_volun,Volunteer in last 12 months,94.8241
n_volfreq,Frequency of volunteering,16.5248
n_volhrs,Hours spent volunteering in last 4 weeks,16.3724
n_lvreladp1,Mother,98.3782
n_nrels4,number of absent brothers/sisters,71.1943
n_biou161,Biological children under 16 not living in HH,38.0987
n_biou16num1,Number Biological children under 16 not living in HH,1.356
n_adopu161,Adopted children under 16 not living in HH,1.0206
n_adopu16num1,Number Adopted children under 16 not living in HH,0.0254
n_stepu161,Step children under 16 not living in HH,5.6553
n_stepu16num1,Number Step children under 16 not living in HH,0.2847
n_lchcliv16,Where currently live -children under 16,0.0902
n_lchcar16,Care arrangements - children under 16 outside UK,0.031
n_lch2uk16,Children under 16 to come to the UK,0.031
n_paaid1,Giving them lifts in your car (if you have one),48.3501
n_paidu1,Getting a lift in their car (if they have one),48.3169
n_chaid161,Giving them lifts in your car (if you have one),39.7263
n_caidu161,Getting lifts in their car (if they have one),39.697
n_benbase1,Income: Receives core benefits: Income Support,96.5809
n_benpen1,Income: Pensions: State Retirement (Old Age) Pension,69.4224
n_othben1,Other benefits or credits: Foster Allowance,96.5324
n_bensta8,Income: Other sources: Student Loan and/or Tuition Fee Loan,96.6385
n_missource01,Income source enumerated at previous wave but not current wave: NI Retirement/St,97.6121
n_nfh01,Further income: NI Retirement/State Retirement (Old Age) Pension,0.5906
n_scrf1,Self-completion refused: Didn't like computer,2.94
n_scun2,Reason unable to complete: Reading/literacy problems,1.3939
n_yajbsrv1,Used career advice: Friends and/or relatives,0.7762
n_ncrr3,Definite decision not to live together,7.5817
n_ncrremote,Frequency remote contact partner,7.8289
n_ncrra,Have children with non co-resident partner,7.8542
n_ncrridall,Number for children respondent has with non-resident other parent,0.6061
n_ncrrawhich01,Children non co-resident partner is parent of PNO 1 from HHGrid,0.2227
n_ncrramore,More children with this partner,0.2143
n_ncrrb,More than one child together,0.1039
n_ncrrpreg,Partner currently pregnant,2.3668
n_ncrrdueyffh,Partner's child's DOB: year,0.0161
n_scwhorupro,Important who you are: Profession,83.3857
n_scwhoruedu,Important who you are: Education,86.193
n_scwhorurac,Important who you are: Ethnic background,85.7686
n_scwhorupol,Important who you are: Political beliefs,85.6032
n_scwhorufam,Important who you are: Family,87.6359
n_scwhorusex,Important who you are: Gender,86.7173
n_scwhoruage,Important who you are: Age/life stage,87.1819
n_scgentrust,How much trust people,96.8707
n_scpundstnd,Spouse/partner understands way I feel,54.7914
n_scprely,Can rely on spouse/partner,54.8189
n_scpopenup,Can talk about worries with spouse/partner,54.7991
n_scpcritic,Spouse/partner criticises me,54.7602
n_scpletdwn,Spouse/partner lets me down,54.7476
n_scpannoy,Spouse/partner gets on my nerves,54.729
n_screlany,Has immediate family,87.0814
n_scrundstnd,Family understands way I feel,82.2979
n_scrrely,Can rely on family,82.3842
n_scropenup,Can talk about my worries with family,82.3368
n_scrcritic,Family criticises me,82.0959
n_scrletdwn,Family lets me down,82.1912
n_scrannoy,Family gets on my nerves,82.2458
n_scfrendany,Has friends,87.2241
n_scfundstnd,Friends understand way I feel,81.3397
n_scfrely,Can rely on friends,81.3493
n_scfopenup,Can talk about my worries with friends,81.3116
n_scfcritic,Friends criticise me,81.0114
n_scfletdwn,Friends let me down,81.1869
n_scfannoy,Friends get on my nerves,81.2564
n_scssup1,Sex of closest friend,85.4648
n_scssupr2r,Relationship of closest friend to resp,80.2845
n_ienddathh,Time at end of individual interview (hours),88.518
n_ienddatmm,Time at end of individual interview (minutes),88.518
n_ienddatss,Time at end of individual interview (seconds),88.518
n_ienddaty,Date at end of individual interview (year),87.0101
n_ienddatm,Date at end of individual interview (month),87.0101
n_ienddatd,Date at end of individual interview (day),87.0101
n_deviceused,Device used,99.0736
n_lacyb41,adoptedchild no. 1: Year adopted child joined resp HH,0.2114
n_laclv1,adoptedchild no. 1: Adopted child still lives in resp HH,0.2312
n_lacno1,adoptedchild no. 1: PNO of adopted child in HH,0.0648
n_lchchkadp1,adoptedchild no. 1: Date of birth check - resident adopted child,0.0592
n_lachhgmis1,adoptedchild no. 1: Child's other parent lives in household,0.0
n_lacyd41,adoptedchild no. 1: Year of death - adopted child,0.0056
n_lacsx1,adoptedchild no. 1: Sex of adopted child,0.1692
n_lacal1,adoptedchild no. 1: Age of adopted child when last lived with resp,0.1466
n_lacby41,adoptedchild no. 1: Year of birth - adopted child,0.1551
n_reltopwcafh1,adoptedchild no. 1: Relationship to child's mother/father,0.0056
n_lmcbm1,cohab no. 1: Month began cohabitation spell,1.4889
n_lmcby41,cohab no. 1: Year began cohabitation spell,1.5122
n_currpart1,cohab no. 1: Check if current husband/wife/partner,1.0427
n_lmspm1,cohab no. 1: Month ended ML spell,0.3388
n_lmspy41,cohab no. 1: Year ended ML spell,0.3683
n_nextstat1,empl spell no. 1: Next employment status,1.8607
n_nextelse1,empl spell no. 1: Next non-employment status,0.6214
n_currstat1,empl spell no. 1: Current non-employment status,0.6195
n_nextjob1,empl spell no. 1: Next job,1.2292
n_currjob1,empl spell no. 1: Current job indicator,1.2361
n_jobhours1,empl spell no. 1: Next job hours,0.1934
n_reasend1_1,empl spell no. 1: Promoted,0.1836
n_reasend2_1,empl spell no. 1: Left for better job,0.1836
n_reasend3_1,empl spell no. 1: Made redundant,0.1836
n_reasend4_1,empl spell no. 1: Dismissed/sacked,0.1836
n_reasend5_1,empl spell no. 1: Temporary job ended,0.1836
n_reasend6_1,empl spell no. 1: Took retirement,0.1836
n_reasend8_1,empl spell no. 1: Left to have baby,0.1836
n_reasend9_1,empl spell no. 1: Look after family,0.1836
n_reasend10_1,empl spell no. 1: Look after other person,0.1836
n_reasend11_1,empl spell no. 1: Moved area,0.1836
n_reasend97_1,empl spell no. 1: Other reason,0.1836
n_jbatt1,empl spell no. 1: Main attraction of current job,0.9588
n_statendd1,empl spell no. 1: Employment status end: day,0.3293
n_statendm1,empl spell no. 1: Employment status end: month,0.3732
n_statendy41,empl spell no. 1: Employment status end: year,0.3764
n_reasendoth1_code,empl spell no. 1: Job finished for other reasons,0.0262
n_reasendoth2_code,empl spell no. 2: Job finished for other reasons,0.006
n_reasendoth3_code,empl spell no. 3: Job finished for other reasons,0.0052
n_reasendoth4_code,empl spell no. 4: Job finished for other reasons,0.0015
n_reasendoth5_code,empl spell no. 5: Job finished for other reasons,0.0021
n_reasendoth6_code,empl spell no. 6: Job finished for other reasons,0.0005
n_ftedstartm1,edu spell no. 1: Month started FT education period,1.2844
n_ftedstarty41,edu spell no. 1: Year started FT education period,1.2907
n_ftedend1,edu spell no. 1: FT education period ended,1.3307
n_ft2endm1,edu spell no. 1: Month finished next FT education period,0.3639
n_ft2endy41,edu spell no. 1: Year finished next FT education period,0.3629
n_ftedmor1,edu spell no. 1: More FT education periods,0.6115
n_mstatch1,marst change 1: Legal marital status change,1.5943
n_statcm1,marst change 1: Month legal marital status changed,1.4798
n_statcy41,marst change 1: Year legal marital status changed,1.4796
n_divchk1,marst change 1: Divorce/CP dissolved date check,0.3289
n_divfin1,marst change 1: Divorce final check,0.0119
n_dvm1,marst change 1: Month divorce/CP dissolved,0.0053
n_dvy41,marst change 1: Year divorce/CP dissolved,0.0059
n_cmlstat1,marst change 1: Current legal marital status,1.6811
n_matlvcod1,maternity leave no. 1: Maternity leave code,0.9489
n_matlvstartm1,maternity leave no. 1: Month started period of leave,0.9209
n_matlvstarty41,maternity leave no. 1: Year started period of leave,0.9209
n_matlvcurrstat1,maternity leave no. 1: If period ended,0.9489
n_matlleavendm1,maternity leave no. 1: Month ended period of leave,0.4734
n_matlleavendy41,maternity leave no. 1: Year ended period of leave,0.4755
n_matlvmore1,maternity leave no. 1: Other blocks of shared parental leave,0.0042
n_lchlvfh1,natchild no. 1: Child resident - biological,14.7473
n_lchnofh1,natchild no. 1: PNO of resident biological child,6.4842
n_lchchkfh1,natchild no. 1: Date of birth check - resident biological child,5.9767
n_lchyd4fh1,natchild no. 1: Year biological child died,0.2847
n_lchsxfh1,"natchild no. 1: Sex of non-resident, deceased or stillborn biological child, or",8.6606
n_lchdoby1,natchild no. 1: Year of birth of non-resident or deceased biological child or bi,8.1109
n_lbchhgmis1,natchild no. 1: Child's other parent lives in household,0.406
n_lchalfh1,natchild no. 1: Child age last lived with resp,7.8148
n_bwtxpfh1,natchild no. 1: Child born when expected,2.4865
n_bwtelfh1,natchild no. 1: Child born early or late,1.0375
n_bwtwkfh1,natchild no. 1: Weeks early or late,1.029
n_bwtfh1,natchild no. 1: Birthweight,2.2638
n_bwtlbfh1,natchild no. 1: Birthweight in pounds,1.762
n_bwtozfh1,natchild no. 1: Birthweight in ounces,1.7535
n_bwtkfh1,natchild no. 1: Birthweight kilograms,0.4877
n_bwtg5fh1,natchild no. 1: Birthweight: more than 5.5lbs (2.5kg),0.2284
n_pregcesfh1,natchild no. 1: Cesarean delivery,2.4809
n_nbclmprbfh1,natchild no. 1: Problems calming child,0.1889
n_nbfussfh1,natchild no. 1: Amount of fussing or crying,0.1889
n_nbsleepfh1,natchild no. 1: Time for child to settle into sleep,0.1889
n_nbwakesfh1,natchild no. 1: Number of times child wakes at night,0.1889
n_nbrefeatfh1,natchild no. 1: Refuses to eat statement,0.1889
n_nbnoappfh1,natchild no. 1: No appetite statement,0.1889
n_reltopwcbfh1,natchild no. 1: Relationship to child's mother/father,0.9191
n_ncrrc_1,ncrrc no. 1: Age of child,0.0732
n_ncrrd_1,ncrrc no. 1: Child lives with,0.06
n_ncrrxxf_1,ncrrc no. 1: Child sex,0.0585
n_nonresch2id_1,"nonreschild no. 1: Identification number for each Step, Biological or Adopted ch",1.497
n_pwcparnam_1,nonreschild no. 1: Other parent code,0.062
n_nrclives_1,nonreschild no. 1: Non-res child mostly lives with,1.435
n_livedwithnrc_1,nonreschild no. 1: Child ever lived with Respondent,1.4209
n_mthslwc_1,nonreschild no. 1: Months since Respondent lived with child,0.5244
n_yrslwc_1,nonreschild no. 1: Years since Respondent lived with child,0.5582
n_nrcbirthc_1,nonreschild no. 1: Name on child's birth certificate,0.9416
n_seekidnrc_1,nonreschild no. 1: How often contact child outside HH,1.4096
n_seekidnrc1_1,nonreschild no. 1: How often remote contact child outside HH,1.4124
