Variables with no matching questionnaire question text in the Wave 18 PDF.
(Derived, admin, grid aggregates, and renamed fields often have no verbatim question.)
Total dictionary variables (Pos. lines): 3973
Matched from PDF: 568
Not found in PDF: 3405

variable	variable_label
pidp	Cross-wave person identifier (public release)
pid	personal identifier (BHPS cohort)
n_hidp	Household identifier (public release)
n_hhorig	Sample origin, household
n_memorig	Sample origin, individual
n_psu	Primary sampling unit
n_strata	Sampling strata
n_sampst	Sample status
n_month	sample month
n_quarter	sample quarter
n_ivfio	Individual level outcome
n_ioutcome	Individual outcome
n_chkrespweb1	Confirm respondent's details web: All correct
n_chkrespweb5	No, title is wrong
n_chkrespweb2	Confirm respondent's details web: No, name is wrong
n_chkrespweb3	Confirm respondent's details web: No, date of birth is wrong
n_chkrespweb4	Confirm respondent's details web: No, sex is wrong
n_loginscreen	Enter numeric access code
n_addrchckweb	Respondent confirms first line of address
n_chooseiv	Identify self from HH members list
n_chkrespwebb	Confirm respondent web
n_chkwebtitle	Correct title
n_chkwebsex	Check Respondent sex web
n_respchild1	PNO of child responsible for - PNO 1
n_respchild2	PNO of child responsible for - PNO 2
n_respchild3	PNO of child responsible for - PNO 3
n_respchild4	PNO of child responsible for - PNO 4
n_respchild5	PNO of child responsible for - PNO 5
n_respchild6	PNO of child responsible for - PNO 6
n_respchild7	PNO of child responsible for - PNO 7
n_respchild8	PNO of child responsible for - PNO 8
n_respchild9	PNO of child responsible for - PNO 9
n_respchild10	PNO of child responsible for - PNO 10
n_respchild11	PNO of child responsible for - PNO 11
n_respchild12	PNO of child responsible for - PNO 12
n_respchild13	PNO of child responsible for - PNO 13
n_respchild14	PNO of child responsible for - PNO 14
n_respchild15	PNO of child responsible for - PNO 15
n_respchild16	PNO of child responsible for - PNO 16
n_pwcu18abs1	PNO of child under 18 the adult is responsible for - PNO 1
n_pwcu18abs2	PNO of child under 18 the adult is responsible for - PNO 2
n_pwcu18abs3	PNO of child under 18 the adult is responsible for - PNO 3
n_pwcu18abs4	PNO of child under 18 the adult is responsible for - PNO 4
n_pwcu18abs5	PNO of child under 18 the adult is responsible for - PNO 5
n_pwcu18abs6	PNO of child under 18 the adult is responsible for - PNO 6
n_pwcu18abs7	PNO of child under 18 the adult is responsible for - PNO 7
n_pwcu18abs8	PNO of child under 18 the adult is responsible for - PNO 8
n_pwcu18abs9	PNO of child under 18 the adult is responsible for - PNO 9
n_pwcu18abs10	PNO of child under 18 the adult is responsible for - PNO 10
n_pwcu18abs11	PNO of child under 18 the adult is responsible for - PNO 11
n_pwcu18abs12	PNO of child under 18 the adult is responsible for - PNO 12
