variable,pct_nonnegative,n_nonnegative,n_numeric,n_rows,documentation_url,definition_lead
pidp,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pidp,cross-wave person identifier (public release)
pid,25.6935,43262,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pid,pid
xwdat_dv,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/xwdat_dv,"Study enumerated in: UKHLS, BHPS or both"
hhorig,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/hhorig,"Sample origin, household"
memorig,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/memorig,sample origin: original bhps or echp
memorig_bh,25.6995,43272,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/memorig_bh,sample origin: original bhps or echp
quarter,84.0602,141538,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/quarter,sample quarter
psu,98.3056,165524,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/psu,primary sampling unit
strata,98.3056,165524,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/strata,stratra
sampst,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/sampst,sample membership status
psmwave,1.6926,2850,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/psmwave,Wave became PSM
w6osmflag,84.0602,141538,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/w6osmflag,Became OSM in Wave 6
sex,99.4299,167417,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/sex,sex from xwavedat sex_dv and sex
sex_dv,84.0257,141480,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/sex_dv,"Sex, derived"
birthy,98.7189,166220,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/birthy,Year of birth - HH grid
doby_dv,83.7721,141053,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/doby_dv,"DOB: Year, derived"
dcsedfl_dv,100.0,168377,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/dcsedfl_dv,Respondent reported deceased?
dcsedw_dv,4.6301,7796,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/dcsedw_dv,Wave respondent deceased
lwenum_dv,84.0602,141538,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/lwenum_dv,Last wave enumerated (UKHLS)
fwenum_dv,84.0602,141538,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/fwenum_dv,First wave enumerated (UKHLS)
lwintvd_dv,59.2153,99705,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/lwintvd_dv,"Last wave interviewed (incl. proxy), (UKHLS)"
fwintvd_dv,59.2153,99705,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/fwintvd_dv,"First wave interviewed (inc. proxy), (UKHLS)"
lwenum_dv_bh,25.6573,43201,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/lwenum_dv_bh,Last wave enumerated (BHPS)
fwenum_dv_bh,25.6573,43201,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/fwenum_dv_bh,First wave enumerated (BHPS)
lwintvd_dv_bh,19.2301,32379,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/lwintvd_dv_bh,"Last wave interviewed (incl. proxy), (BHPS)"
fwintvd_dv_bh,19.2301,32379,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/fwintvd_dv_bh,"First wave interviewed (inc. proxy), (BHPS)"
lvag16,40.0167,67379,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/lvag16,living with biological parents at 16
agelh,8.6223,14518,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/agelh,age stopped living with both biological parents
lvag14,8.9882,15134,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/lvag14,who living with at age 14
ynlp14,8.3693,14092,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/ynlp14,why not living with both biological parents
scend_dv,64.5557,108697,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/scend_dv,School leaving age
feend_dv,32.4635,54661,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/feend_dv,Further education leaving age
school_dv,69.949,117778,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/school_dv,Never went to/still at school
racel_dv,67.2348,113208,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/racel_dv,"Ethnic group incorp. all waves, codings, modes and bhps"
racel_bh,10.7354,18076,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/racel_bh,Ethnic group membership (long version)   (BHPS)
race_bh,16.1483,27190,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/race_bh,Ethnic group membership  (BHPS)
ukborn,69.1264,116393,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/ukborn,"Whether born in England, Scotland, Wales, Northern Ireland or outside UK (derive"
plbornc,11.6221,19569,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/plbornc,country of birth
yr2uk4,11.3828,19166,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/yr2uk4,Year came to UK
bornuk_dv,70.9943,119538,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/bornuk_dv,Born in UK (derived)
generation,67.0608,112915,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/generation,(migrant) generation
maju,60.9169,102570,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/maju,mother not working when resp. aged 14
maid,28.2877,47630,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/maid,mother's ethnic group
macob,52.5749,88524,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/macob,country mother born
mgmrob,37.8466,63725,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/mgmrob,country mother's mother born in
mgprob,37.5307,63193,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/mgprob,country mother's father born in
maedqf,38.1964,64314,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/maedqf,mother's educational qualifications
masoc90_cc,30.6556,51617,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/masoc90_cc,"Mother's SOC 1990, resp aged 14, condensed"
masoc00_cc,23.9712,40362,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/masoc00_cc,"Mother's SOC 2000, resp aged 14, condensed"
masoc10_cc,23.1902,39047,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/masoc10_cc,"Mother's SOC 2010, resp aged 14, condensed"
maj1uksoc90_cc,0.1063,179,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/maj1uksoc90_cc,"Mother's first job in UK: SOC 1990, condensed"
maj1uksoc00_cc,0.1063,179,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/maj1uksoc00_cc,"Mother's first job in UK: SOC 2000, condensed"
maj1uksoc10_cc,0.1063,179,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/maj1uksoc10_cc,"Mother's first job in UK: SOC 2010, condensed"
majlcbsoc90_cc,0.0683,115,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/majlcbsoc90_cc,"Mother's last job in c.o.b.: SOC 1990, condensed"
majlcbsoc00_cc,0.0683,115,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/majlcbsoc00_cc,"Mother's last job in c.o.b.: SOC 2000, condensed"
majlcbsoc10_cc,0.0683,115,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/majlcbsoc10_cc,"Mother's last job in c.o.b.: SOC 2010, condensed"
paju,60.0557,101120,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/paju,father not working when resp. aged 14
paid,28.1921,47469,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/paid,father's ethnic group
pacob,52.307,88073,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pacob,country father born
pgprob,37.0039,62306,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pgprob,country father's father born in
pgmrob,37.1737,62592,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pgmrob,country father's mother born in
paedqf,36.7574,61891,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/paedqf,father's educational qualifications
pasoc90_cc,46.2729,77913,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pasoc90_cc,"Father's SOC 1990, resp aged 14, condensed"
pasoc00_cc,36.0661,60727,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pasoc00_cc,"Father's SOC 2000, resp aged 14, condensed"
pasoc10_cc,34.1929,57573,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pasoc10_cc,"Father's SOC 2010, resp aged 14, condensed"
paj1uksoc90_cc,0.1586,267,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/paj1uksoc90_cc,"Father's first job in UK: SOC 1990, condensed"
paj1uksoc00_cc,0.1586,267,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/paj1uksoc00_cc,"Father's first job in UK: SOC 2000, condensed"
paj1uksoc10_cc,0.1586,267,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/paj1uksoc10_cc,"Father's first job in UK: SOC 2010, condensed"
pajlcbsoc90_cc,0.1093,184,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pajlcbsoc90_cc,"Father's last job in c.o.b.: SOC 1990, condensed"
pajlcbsoc00_cc,0.1093,184,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pajlcbsoc00_cc,"Father's last job in c.o.b.: SOC 2000, condensed"
pajlcbsoc10_cc,0.1093,184,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/pajlcbsoc10_cc,"Father's last job in c.o.b.: SOC 2010, condensed"
j1semp,38.6615,65097,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1semp,Employee or self-employed: first job
j1boss,0.8493,1430,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1boss,Hired employees: first job
j1mngr,37.6774,63440,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1mngr,Managerial duties: first job
j1soc10_cc,24.0906,40563,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1soc10_cc,"First job: SOC 2010, condensed"
j1soc00_cc,24.0858,40555,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1soc00_cc,"First job: SOC 2000, condensed"
j1soc90_cc,35.3421,59508,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1soc90_cc,"First job: SOC 1990, condensed"
j1uksoc90_cc,0.5511,928,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1uksoc90_cc,"Own first job in UK: SOC 1990, condensed"
j1uksoc00_cc,0.5517,929,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1uksoc00_cc,"Own first job in UK: SOC 2000, condensed"
j1uksoc10_cc,0.5529,931,168377,168377,https://www.understandingsociety.ac.uk/documentation/mainstage/variables/j1uksoc10_cc,"Own first job in UK: SOC 2010, condensed"
